 5.40854E+02	 1.37796E+03
 5.40873E+02	 1.37748E+03
 5.40892E+02	 1.37675E+03
 5.40912E+02	 1.37708E+03
 5.40931E+02	 1.37881E+03
 5.40950E+02	 1.37715E+03
 5.40970E+02	 1.37608E+03
 5.40989E+02	 1.37750E+03
 5.41008E+02	 1.37767E+03
 5.41028E+02	 1.37811E+03
 5.41047E+02	 1.37793E+03
 5.41066E+02	 1.37818E+03
 5.41086E+02	 1.37710E+03
 5.41105E+02	 1.37659E+03
 5.41124E+02	 1.37638E+03
 5.41143E+02	 1.37721E+03
 5.41163E+02	 1.37807E+03
 5.41182E+02	 1.37952E+03
 5.41201E+02	 1.37897E+03
 5.41221E+02	 1.37823E+03
 5.41240E+02	 1.37745E+03
 5.41259E+02	 1.37754E+03
 5.41279E+02	 1.37701E+03
 5.41298E+02	 1.37723E+03
 5.41317E+02	 1.37781E+03
 5.41337E+02	 1.37608E+03
 5.41356E+02	 1.37874E+03
 5.41375E+02	 1.37734E+03
 5.41395E+02	 1.37738E+03
 5.41414E+02	 1.37840E+03
 5.41433E+02	 1.37796E+03
 5.41453E+02	 1.37702E+03
 5.41472E+02	 1.37751E+03
 5.41491E+02	 1.37677E+03
 5.41511E+02	 1.37640E+03
 5.41530E+02	 1.37725E+03
 5.41549E+02	 1.37692E+03
 5.41569E+02	 1.37712E+03
 5.41588E+02	 1.37792E+03
 5.41607E+02	 1.37794E+03
 5.41627E+02	 1.37683E+03
 5.41646E+02	 1.37836E+03
 5.41665E+02	 1.37768E+03
 5.41685E+02	 1.37759E+03
 5.41704E+02	 1.37652E+03
 5.41723E+02	 1.37668E+03
 5.41743E+02	 1.37777E+03
 5.41762E+02	 1.37654E+03
 5.41781E+02	 1.37585E+03
 5.41801E+02	 1.37623E+03
 5.41820E+02	 1.37638E+03
 5.41839E+02	 1.37632E+03
 5.41859E+02	 1.37666E+03
 5.41878E+02	 1.37670E+03
 5.41897E+02	 1.37658E+03
 5.41917E+02	 1.37620E+03
 5.41936E+02	 1.37640E+03
 5.41955E+02	 1.37746E+03
 5.41975E+02	 1.37750E+03
 5.41994E+02	 1.37613E+03
 5.42013E+02	 1.37680E+03
 5.42033E+02	 1.37538E+03
 5.42052E+02	 1.37614E+03
 5.42071E+02	 1.37768E+03
 5.42091E+02	 1.37719E+03
 5.42110E+02	 1.37676E+03
 5.42129E+02	 1.37617E+03
 5.42149E+02	 1.37564E+03
 5.42168E+02	 1.37697E+03
 5.42187E+02	 1.37642E+03
 5.42207E+02	 1.37507E+03
 5.42226E+02	 1.37642E+03
 5.42245E+02	 1.37629E+03
 5.42265E+02	 1.37711E+03
 5.42284E+02	 1.37733E+03
 5.42303E+02	 1.37559E+03
 5.42323E+02	 1.37562E+03
 5.42342E+02	 1.37559E+03
 5.42361E+02	 1.37717E+03
 5.42380E+02	 1.37663E+03
 5.42400E+02	 1.37534E+03
 5.42419E+02	 1.37614E+03
 5.42438E+02	 1.37716E+03
 5.42458E+02	 1.37713E+03
 5.42477E+02	 1.37652E+03
 5.42496E+02	 1.37549E+03
 5.42516E+02	 1.37676E+03
 5.42535E+02	 1.37724E+03
 5.42554E+02	 1.37596E+03
 5.42574E+02	 1.37567E+03
 5.42593E+02	 1.37640E+03
 5.42612E+02	 1.37692E+03
 5.42632E+02	 1.37637E+03
 5.42651E+02	 1.37625E+03
 5.42670E+02	 1.37679E+03
 5.42690E+02	 1.37750E+03
 5.42709E+02	 1.37771E+03
 5.42728E+02	 1.37521E+03
 5.42748E+02	 1.37518E+03
 5.42767E+02	 1.37605E+03
 5.42786E+02	 1.37523E+03
 5.42806E+02	 1.37678E+03
 5.42825E+02	 1.37638E+03
 5.42844E+02	 1.37702E+03
 5.42864E+02	 1.37558E+03
 5.42883E+02	 1.37582E+03
 5.42902E+02	 1.37598E+03
 5.42922E+02	 1.37500E+03
 5.42941E+02	 1.37627E+03
 5.42960E+02	 1.37628E+03
 5.42980E+02	 1.37523E+03
 5.42999E+02	 1.37601E+03
 5.43018E+02	 1.37492E+03
 5.43038E+02	 1.37548E+03
 5.43057E+02	 1.37586E+03
 5.43076E+02	 1.37583E+03
 5.43096E+02	 1.37739E+03
 5.43115E+02	 1.37707E+03
 5.43134E+02	 1.37672E+03
 5.43154E+02	 1.37717E+03
 5.43173E+02	 1.37672E+03
 5.43192E+02	 1.37658E+03
 5.43212E+02	 1.37590E+03
 5.43231E+02	 1.37649E+03
 5.43250E+02	 1.37662E+03
 5.43270E+02	 1.37617E+03
 5.43289E+02	 1.37538E+03
 5.43308E+02	 1.37583E+03
 5.43328E+02	 1.37796E+03
 5.43347E+02	 1.37871E+03
 5.43366E+02	 1.37510E+03
 5.43386E+02	 1.37644E+03
 5.43405E+02	 1.37611E+03
 5.43424E+02	 1.37605E+03
 5.43444E+02	 1.37683E+03
 5.43463E+02	 1.37686E+03
 5.43482E+02	 1.37553E+03
 5.43502E+02	 1.37538E+03
 5.43521E+02	 1.37636E+03
 5.43540E+02	 1.37763E+03
 5.43560E+02	 1.37693E+03
 5.43579E+02	 1.37621E+03
 5.43598E+02	 1.37595E+03
 5.43617E+02	 1.37671E+03
 5.43637E+02	 1.37584E+03
 5.43656E+02	 1.37564E+03
 5.43675E+02	 1.37600E+03
 5.43695E+02	 1.37680E+03
 5.43714E+02	 1.37699E+03
 5.43733E+02	 1.37658E+03
 5.43753E+02	 1.37656E+03
 5.43772E+02	 1.37584E+03
 5.43791E+02	 1.37498E+03
 5.43811E+02	 1.37647E+03
 5.43830E+02	 1.37599E+03
 5.43849E+02	 1.37521E+03
 5.43869E+02	 1.37644E+03
 5.43888E+02	 1.37752E+03
 5.43907E+02	 1.37656E+03
 5.43927E+02	 1.37661E+03
 5.43946E+02	 1.37717E+03
 5.43965E+02	 1.37715E+03
 5.43985E+02	 1.37636E+03
 5.44004E+02	 1.37542E+03
 5.44023E+02	 1.37504E+03
 5.44043E+02	 1.37502E+03
 5.44062E+02	 1.37657E+03
 5.44081E+02	 1.37629E+03
 5.44101E+02	 1.37612E+03
 5.44120E+02	 1.37662E+03
 5.44139E+02	 1.37769E+03
 5.44159E+02	 1.37692E+03
 5.44178E+02	 1.37544E+03
 5.44197E+02	 1.37564E+03
 5.44217E+02	 1.37655E+03
 5.44236E+02	 1.37537E+03
 5.44255E+02	 1.37585E+03
 5.44275E+02	 1.37481E+03
 5.44294E+02	 1.37602E+03
 5.44313E+02	 1.37676E+03
 5.44333E+02	 1.37692E+03
 5.44352E+02	 1.37681E+03
 5.44371E+02	 1.37600E+03
 5.44391E+02	 1.37653E+03
 5.44410E+02	 1.37481E+03
 5.44429E+02	 1.37626E+03
 5.44449E+02	 1.37619E+03
 5.44468E+02	 1.37609E+03
 5.44487E+02	 1.37595E+03
 5.44507E+02	 1.37612E+03
 5.44526E+02	 1.37493E+03
 5.44545E+02	 1.37674E+03
 5.44565E+02	 1.37736E+03
 5.44584E+02	 1.37751E+03
 5.44603E+02	 1.37789E+03
 5.44623E+02	 1.37641E+03
 5.44642E+02	 1.37608E+03
 5.44661E+02	 1.37648E+03
 5.44681E+02	 1.37717E+03
 5.44700E+02	 1.37752E+03
 5.44719E+02	 1.37752E+03
 5.44739E+02	 1.37796E+03
