#Wave,#Intensity
1732.150391,14572.53809
1730.5625,14673.38965
1728.974609,14643.2666
1727.386719,14695.91113
1725.796875,14888.43652
1724.208984,14975.59961
1722.619141,15189.03711
1721.029297,15220.47461
1719.439453,15127.14063
1717.849609,15361.45117
1716.257812,15693.3252
1714.667969,15571.40723
1713.076172,15823.5
1711.484375,15818.72461
1709.892578,15581.25977
1708.300781,15687.60156
1706.707031,15459.26367
1705.115234,15504.07324
1703.521484,15160.36719
1701.927734,15220.21484
1700.333984,15001.15527
1698.738281,14744.70898
1697.144531,14967.9668
1695.548828,14668.17676
1693.953125,14762.5166
1692.357422,14491.35059
1690.761719,14738.43262
1689.166016,14768.31738
1687.568359,14720.35156
1685.972656,14560.16113
1684.375,14756.14746
1682.777344,14575.07129
1681.179688,14549.61621
1679.582031,14319.31055
1677.982422,14368.66797
1676.382812,14000.97949
1674.783203,14054.86426
1673.183594,13854.73047
1671.583984,13677.08496
1669.984375,13657.82031
1668.382812,13462.37012
1666.783203,13419.27148
1665.181641,13323.9502
1663.580078,13274.92676
1661.978516,13227.41602
1660.375,13163.51563
1658.773438,13324.82813
1657.169922,13365.30176
1655.566406,13265.63379
1653.962891,13574.37012
1652.359375,13374.86426
1650.753906,13291.64063
1649.150391,13612.09277
1647.544922,13536.29883
1645.939453,13502.22363
1644.333984,13468.16113
1642.728516,13413.27734
1641.123047,13246.82227
1639.515625,13401.75586
1637.908203,13601.24414
1636.300781,13473.5127
1634.693359,13637.2207
1633.085938,13592.76953
1631.476562,13638.98535
1629.869141,13737.18164
1628.259766,13747.69629
1626.650391,13774.54199
1625.041016,13893.43457
1623.431641,13976.64844
1621.820312,14033.11133
1620.210938,13865.48145
1618.599609,14117.77539
1616.988281,14094.07422
1615.376953,13996.23438
1613.763672,13954.77441
1612.152344,14000.79004
1610.539062,13986.02148
1608.925781,13990.52148
1607.3125,14187.60352
1605.699219,13903.24023
1604.085938,14035.10059
1602.470703,13842.67676
1600.855469,13585.20313
1599.242188,13617.89356
1597.625,13649.08984
1596.009766,13763.11133
1594.394531,13677.42481
1592.777344,13681.9707
1591.162109,13608.16113
1589.544922,13829.99023
1587.927734,13667.51563
1586.308594,13543.52051
1584.691406,13741.58789
1583.072266,13991.25977
1581.455078,14155.19043
1579.835938,14268.86035
1578.214844,14379.53125
1576.595703,14290.95215
1574.976562,14516.64063
1573.355469,14402.99414
1571.734375,14432.43457
1570.113281,14472.18262
1568.492188,14511.91406
1566.871094,14364.46289
1565.248047,14564.80176
1563.626953,14650.15234
1562.003906,14642.67969
1560.380859,14669.07617
1558.757812,14933.95703
1557.132812,14904.34863
1555.509766,15095.48926
1553.884766,15187.97363
1552.259766,15090.66309
1550.634766,15422.82617
1549.009766,15597.52148
1547.382812,15658.94922
1545.757812,16012.8291
1544.130859,16229.90234
1542.503906,16155.99707
1540.876953,16174.65723
1539.25,16347.50293
1537.621094,16329.4082
1535.994141,16421.41211
1534.365234,16652.79883
1532.736328,16797.51953
1531.107422,16754.40234
1529.476562,16963.57227
1527.847656,16880.8457
1526.216797,16978.47656
1524.585938,17118.57422
1522.955078,17166.28906
1521.324219,17278.44922
1519.693359,17396.42188
1518.060547,17524.59375
1516.429688,17815.24023
1514.796875,17676.83789
1513.164062,17737.54102
1511.529297,17727.98047
1509.896484,17478.49023
1508.261719,16968.74414
1506.628906,16590.82422
1504.994141,16389.97266
1503.359375,15967.01563
1501.722656,15664.07422
1500.087891,15159.61719
1498.451172,14908.09961
1496.814453,14626.01563
1495.177734,14536.80078
1493.541016,14266.58887
1491.904297,13980.43457
1490.265625,14079.66211
1488.628906,13729.4668
1486.990234,13873.92481
1485.351562,13959.98438
1483.710938,13786.46289
1482.072266,14060.56055
1480.431641,13760.28613
1478.792969,13722.43262
1477.152344,13996.36914
1475.511719,13859.43164
1473.869141,13738.57031
1472.228516,13527.48828
1470.585938,13518.83203
1468.945312,13147.79199
1467.302734,12894.76758
1465.658203,12765.50195
1464.015625,12713.37598
1462.373047,12579.83789
1460.728516,12700.77832
1459.083984,12480.08594
1457.439453,12698.36231
1455.794922,12628.86523
1454.148438,12732.25977
1452.503906,12553.85938
1450.857422,12575.91211
1449.210938,12783.77344
1447.564453,12619.98633
1445.917969,12726.17188
1444.269531,12531.99805
1442.623047,12437.98828
1440.974609,12523.83984
1439.326172,12679.25098
1437.677734,12578.01856
1436.027344,12682.62598
1434.378906,12650.98535
1432.728516,12599.07617
1431.078125,12735.47461
1429.427734,12593.78809
1427.777344,12566.53223
1426.126953,12785.35449
1424.474609,12697.28906
1422.822266,12777.09277
1421.169922,12499.56738
1419.517578,12494.04981
1417.865234,12653.37012
1416.210938,12595.7793
1414.558594,12695.75098
1412.904297,12532.68652
1411.25,12592.17676
1409.595703,12508.64356
1407.939453,12545.00684
1406.285156,12621.78027
1404.628906,12542.62207
1402.972656,12635.23731
1401.316406,12615.2666
1399.660156,12523.17383
1398.003906,12595.54004
1396.345703,12520.79297
1394.6875,12561.41016
1393.029297,12583.27246
1391.371094,12325.55566
1389.712891,12324.4043
1388.052734,12344.85938
1386.394531,12450.27539
1384.734375,12241.75488
1383.074219,12368.74023
1381.412109,12379.0918
1379.751953,12228.27441
1378.091797,12301.94922
1376.429688,12227.44336
1374.767578,12141.46289
1373.105469,12413.5166
1371.441406,12185.22461
1369.779297,12145.29395
1368.115234,12168.59961
1366.453125,12164.60156
1364.789062,12141.93262
1363.123047,12030.24414
1361.458984,12202.85742
1359.792969,11973.50586
1358.128906,11972.41797
