#Wave,#Intensity
1589.544922,9546.639648
1587.927734,9646.615234
1586.308594,9660.857422
1584.691406,9633.735352
1583.072266,9612.530273
1581.455078,9832.00293
1579.835938,9728.097656
1578.214844,9475.170898
1576.595703,9729.947266
1574.976562,9682.186523
1573.355469,9630.020508
1571.734375,9602.944336
1570.113281,9693.827148
1568.492188,9432.375977
1566.871094,9664.732422
1565.248047,9350.352539
1563.626953,9520.757812
1562.003906,9400.947266
1560.380859,9553.600586
1558.757812,9505.969727
1557.132812,9530.481445
1555.509766,9446.084961
1553.884766,9485.310547
1552.259766,9392.131836
1550.634766,9343.112305
1549.009766,9367.628906
1547.382812,9375.964844
1545.757812,9410.751953
1544.130859,9463.157227
1542.503906,9273.133789
1540.876953,9212.445312
1539.25,9388.212891
1537.621094,9270.264648
1535.994141,9415.119141
1534.365234,9345.644531
1532.736328,9138.272461
1531.107422,9269.859375
1529.476562,9238.59082
1527.847656,9053.365234
1526.216797,9091.057617
1524.585938,9250.391602
1522.955078,9082.863281
1521.324219,9190.851562
1519.693359,9180.142578
1518.060547,9157.720703
1516.429688,9214.375977
1514.796875,9077.769531
1513.164062,9147.589844
1511.529297,9123.727539
1509.896484,9183.266602
1508.261719,9236.929688
1506.628906,9188.201172
1504.994141,9158.500977
1503.359375,9190.206055
1501.722656,9180.977539
1500.087891,9195.129883
1498.451172,9191.746094
1496.814453,9344.641602
1495.177734,9180.599609
1493.541016,9321.75293
1491.904297,9264.336914
1490.265625,9338.283203
1488.628906,9277.967773
1486.990234,9353.338867
1485.351562,9182.204102
1483.710938,9251.730469
1482.072266,9262.913086
1480.431641,9419.841797
1478.792969,9280.893555
1477.152344,9242.527344
1475.511719,9314.87793
1473.869141,9382.829102
1472.228516,9274.577148
1470.585938,9383.266602
1468.945312,9336.18457
1467.302734,9236.739258
1465.658203,9550.486328
1464.015625,9452.491211
1462.373047,9553.754883
1460.728516,9419.453125
1459.083984,9466.899414
1457.439453,9357.375977
1455.794922,9541.389648
1454.148438,9500.168945
1452.503906,9421.204102
1450.857422,9548.458008
1449.210938,9571.134766
1447.564453,9509.620117
1445.917969,9600.496094
1444.269531,9575.270508
1442.623047,9529.74707
1440.974609,9697.419922
1439.326172,9606.942383
1437.677734,9794.822266
1436.027344,9573.926758
1434.378906,9682.039062
1432.728516,9779.96582
1431.078125,9670.734375
1429.427734,9827.991211
1427.777344,9585.600586
1426.126953,9703.726562
1424.474609,9804.436523
1422.822266,9889.189453
1421.169922,9743.905273
1419.517578,9772.229492
1417.865234,9845.366211
1416.210938,9904.014648
1414.558594,9625.876953
1412.904297,9853.613281
1411.25,9861.65625
1409.595703,9954.916016
1407.939453,10013.47754
1406.285156,9913.194336
1404.628906,9898.119141
1402.972656,9734.400391
1401.316406,9977.646484
1399.660156,9968.336914
1398.003906,9960.47168
1396.345703,9884.835938
1394.6875,9992.326172
1393.029297,9997.431641
1391.371094,9878.601562
1389.712891,9844.827148
1388.052734,9952.232422
1386.394531,9850.767578
1384.734375,9824.217773
1383.074219,9881.172852
1381.412109,9919.393555
1379.751953,9810.823242
1378.091797,9974.204102
1376.429688,9877.173828
1374.767578,9905.293945
1373.105469,9936.277344
1371.441406,9876.6875
1369.779297,9819.99707
1368.115234,9790.628906
1366.453125,9821.608398
1364.789062,9842.519531
1363.123047,9804.548828
1361.458984,9780.949219
1359.792969,9744.441406
1358.128906,9828.490234
1356.462891,9912.50293
1354.796875,9842.99707
1353.128906,9674.56543
1351.462891,9678.261719
1349.794922,9547.206055
1348.128906,9576.724609
1346.460938,9699.369141
1344.791016,9578.417969
1343.123047,9562.076172
1341.455078,9644.548828
1339.785156,9618.175781
1338.115234,9460.125
1336.445312,9476.734375
1334.775391,9506.213867
1333.103516,9401.212891
1331.433594,9592.306641
1329.761719,9418.696289
1328.089844,9340.94043
1326.417969,9411.863281
1324.744141,9261.262695
1323.072266,9220.734375
1321.398438,9161.65332
1319.724609,9225.411133
