Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,204.69911430966894,34.627689278874186,3.9201957958469524,0.09374836979394573
2,voigt,245.54807823811598,77.14383361252982,5.6809373585500555,0.0609474623854964
3,voigt,504.7299958254793,61.01681496102846,26.596407931316435,0.32770411840197156
4,voigt,567.1064638987443,18.146721572585616,1.6782849832795075,0.0677817526272862
5,voigt,541.4916776093553,27.92332348393338,6.767452034030731,0.1798449595605369
6,voigt,652.2048485476713,5.567093684284223,0.8200480907644202,0.1012003959998821
7,gauss,769.975526688251,27.79118543776874,20.567458984357902,0.6932418010707836
8,lorentz,718.4487394924463,29.17785783391728,8.379026735040258,0.18190609164981436
9,lorentz,869.6995981489629,2.025178602476335,0.05087182562757851,0.014436043518464427
10,lorentz,745.8821838893024,28.826890597019368,20.630142571575334,0.4545687231363167
11,voigt,849.9525722423967,1.6402347822596637,0.3223147988734601,0.05567308950902724
12,voigt,937.724032410704,1.638660975943134,0.18530707338881905,0.031093681276177634
13,voigt,908.1191910562984,39.971585881022,11.864540337995622,0.2199168457526352
14,gauss,835.0942270033914,102.00009701328024,26.224206232034017,0.24152354844256066
15,voigt,866.7121623627007,1.6482066994070617,0.2866651233004247,0.08211775954712626
16,gauss,1262.0920936149512,235.4799999462379,10.029046214521479,0.04000956909387996
17,lorentz,1437.0085765178328,147.42774677803993,11.478898790129914,0.049555084877355535
18,lorentz,1600.10139867713,189.09658112222152,13.761954080508668,0.04633077733863804
