Raman Shift (cm-1),Fitted Intensity,Residual
171.300781,0.02521332071308845,0.048837293718186556
173.222656,0.025406980078794276,0.05842849679004897
175.146484,0.025603254727460088,0.07846514048120871
177.068359,0.025801788532649153,0.10519645843651705
178.990234,0.026002822814066056,0.0871661354937146
180.910156,0.02620619368163657,0.12562909473524494
182.832031,0.02641236015664137,0.11148488045720137
184.751953,0.026620949482727245,0.14377172003224623
186.671875,0.02683221713067875,0.15429778237024938
188.591797,0.027046211491081842,0.16262962071940257
190.511719,0.027262982088970076,0.19784353989067602
192.429688,0.0274823547818472,0.1576341167882941
194.347656,0.02770460027384823,0.19524268500864322
196.265625,0.027929771762407973,0.18091196951013352
198.183594,0.02815792336536623,0.18141024571665113
200.099609,0.02838887352603041,0.21213292513736043
202.015625,0.0286229099857208,0.2053592598256685
203.933594,0.028860334092132955,0.21161396133948626
205.847656,0.029100475072713072,0.21702233667952725
207.763672,0.02934412429268043,0.21614513079173245
209.677734,0.02959084712598105,0.2085264004940539
211.59375,0.029841211281612205,0.20216399623107284
213.507812,0.030094771579793025,0.2234967120146769
215.419922,0.03035158468450181,0.21754132737694995
217.333984,0.030612243632368513,0.23007113003166166
219.246094,0.030876287114849892,0.21862104138203145
221.158203,0.031144051053723185,0.217647695283681
223.070312,0.031415609510323704,0.2055306970654006
224.982422,0.03169103846102568,0.20540630684065375
226.892578,0.03197012802410544,0.2035134862921037
228.802734,0.03225323725817083,0.20605492396993783
230.712891,0.03254044798628967,0.20516151051595546
232.623047,0.03283184373422236,0.1961368112139909
234.533203,0.03312751070257515,0.21198828219054833
236.441406,0.033427228227257424,0.18093433034966655
238.349609,0.03373138685378499,0.17990756427383567
240.257812,0.03404007946687018,0.17422495955767445
242.166016,0.034353401639596805,0.18601250797330043
244.072266,0.03467112309191339,0.1761665040037196
245.980469,0.03499399563661893,0.18091397865199882
247.886719,0.03532146163358426,0.17963622623033318
249.791016,0.03565361183959477,0.17976230232905488
251.697266,0.03599123646553046,0.1614142163036981
253.601562,0.03633375535450563,0.17648641626554096
255.507812,0.03668198658355558,0.16883114060930954
257.412109,0.037035334711722996,0.17381171291165792
259.314453,0.037393904288170306,0.17639997124706944
261.21875,0.037758556518548064,0.17629047895248431
263.121094,0.03812867186929317,0.16876979683301357
265.023438,0.038504753431485544,0.15231278777910376
266.925781,0.03888693694879426,0.18133346739079814
268.828125,0.03927536279272173,0.1550546972262943
