Raman Shift (cm-1),Processed Intensity
150.119141,0.04490917488662937
152.046875,0.05195187401110253
153.974609,0.05705659180959413
155.900391,0.060724808054677615
157.828125,0.06339613562458243
159.753906,0.06559230651983827
161.679688,0.06857938654911344
163.603516,0.06972460214679768
165.529297,0.07571240841063004
167.453125,0.0818638573682753
169.376953,0.08250297848283682
171.300781,0.0891309005540066
173.222656,0.09442172305452536
175.146484,0.10005914710721249
177.068359,0.10264029297890026
178.990234,0.10724811426945677
180.910156,0.11165907382488471
182.832031,0.11260650702804438
184.751953,0.11707496775827851
186.671875,0.12065768410882903
188.591797,0.1195706194733978
190.511719,0.12366717642173831
192.429688,0.12649914895826023
194.347656,0.13078694465803717
196.265625,0.1340931170154421
198.183594,0.13891389577698599
200.099609,0.14223788583821745
202.015625,0.14274544787685006
203.933594,0.14053597428105385
205.847656,0.1397866150036804
207.763672,0.13352827913899643
209.677734,0.12716893601316173
211.59375,0.12313880479371753
213.507812,0.12202133665742394
215.419922,0.12240325532530788
217.333984,0.12170315632526375
219.246094,0.11627681725145846
221.158203,0.11203264784141216
223.070312,0.109737437588977
224.982422,0.10850169466846826
226.892578,0.10548280505733647
228.802734,0.10124430438560705
230.712891,0.09871018155908988
232.623047,0.09675328298119798
234.533203,0.09399638328926055
236.441406,0.09259575011401068
238.349609,0.08774976196701838
240.257812,0.08975967836620358
242.166016,0.09552452277455535
244.072266,0.09844799033614593
245.980469,0.10157084372571822
247.886719,0.10221739832701107
249.791016,0.10370071299353216
251.697266,0.10338299489152852
253.601562,0.10499022039812352
255.507812,0.10806021808965498
257.412109,0.11041380402378055
259.314453,0.11572732500233796
261.21875,0.12141200507109698
263.121094,0.1257818767072712
265.023438,0.12757354034723922
266.925781,0.1306153128994009
268.828125,0.13313109042915455
270.728516,0.13056212878315515
272.628906,0.1305707103864355
274.529297,0.13135032101597985
276.429688,0.12771224200626594
278.330078,0.12856424359107854
280.228516,0.12938329290912554
282.126953,0.12961139303777983
284.025391,0.13060648726284596
285.923828,0.13346402966937623
287.822266,0.13203889352224507
289.71875,0.1303369332634242
291.615234,0.12888790484458765
293.511719,0.12801625903985522
295.40625,0.12355856865290972
297.302734,0.12047008294076034
299.197266,0.11621141839219597
301.091797,0.11051598999492139
302.986328,0.10881395793089442
304.878906,0.10509151281524479
306.773438,0.10068445656849058
308.666016,0.09672170660246887
310.558594,0.09243788571945338
312.449219,0.09188944689127015
314.341797,0.09069546565249029
316.232422,0.08694760778079397
318.123047,0.08837472617371742
320.013672,0.08782316519807361
321.904297,0.09035483072983032
323.792969,0.08837331595371058
