Raman Shift (cm-1),Fitted Intensity
171.300781,0.001110605670818983
173.222656,0.0011162394405254757
175.146484,0.0011219474341592059
177.068359,0.0011277194280473368
178.990234,0.0011335625823914448
180.910156,0.0011394722864613242
182.832031,0.0011454620389812424
184.751953,0.0011515211800712732
186.671875,0.0011576573122364748
188.591797,0.0011638720316838106
190.511719,0.0011701669786620642
192.429688,0.001176537310025014
194.347656,0.0011829911123019481
196.265625,0.0011895301682814372
198.183594,0.0011961563008501422
200.099609,0.0012028645009923523
202.015625,0.0012096634041967598
203.933594,0.001216562060875037
205.847656,0.0012235412882481876
207.763672,0.0012306244093476353
209.677734,0.001237799131800665
211.59375,0.00124508232570364
213.507812,0.001252461419928754
215.419922,0.0012599384526613936
217.333984,0.0012675311086728408
219.246094,0.001275226390113393
221.158203,0.001283034542526281
223.070312,0.00129095821027732
224.982422,0.0012990001193235003
226.892578,0.0013071546671485888
228.802734,0.0013154328958763755
230.712891,0.0013238377853961524
232.623047,0.0013323723964450145
234.533203,0.0013410399006464728
236.441406,0.0013498344949804185
238.349609,0.0013587683368425725
240.257812,0.0013678448993553615
242.166016,0.0013770677740752991
244.072266,0.0013864309852238597
245.980469,0.0013959575475948633
247.886719,0.0014056319073627306
249.791016,0.0014154576500137086
251.697266,0.0014254591397182778
253.601562,0.0014356202251634745
255.507812,0.001445966261948938
257.412109,0.0014564806975980245
259.314453,0.0014671677844942661
261.21875,0.0014780544406779413
263.121094,0.0014891234793744425
265.023438,0.0015003912900494374
266.925781,0.0015118633792846553
268.828125,0.0015235454709211604
270.728516,0.001535431151040454
272.628906,0.0015475384155334301
274.529297,0.0015598736209110667
276.429688,0.0015724433407627327
278.330078,0.0015852543950492786
280.228516,0.001598300331166225
282.126953,0.0016116015082497722
284.025391,0.0016251655540649565
285.923828,0.0016390003627728986
287.822266,0.0016531141660392733
289.71875,0.0016675005234370456
291.615234,0.0016821826687218157
293.511719,0.0016971698154455406
295.40625,0.001712455601572255
297.302734,0.0017280815072515385
299.197266,0.0017440257089948396
301.091797,0.0017603148826886021
302.986328,0.0017769602554014113
304.878906,0.001793955785754422
306.773438,0.0018113487350507173
308.666016,0.0018291159047568609
310.558594,0.0018472882511402266
312.449219,0.001865860159264257
314.341797,0.0018848843824948106
316.232422,0.0019043366587717368
318.123047,0.0019242520526742478
320.013672,0.0019446469300349386
321.904297,0.0019655384026046633
323.792969,0.001986921985551614
325.681641,0.002008837672773919
327.570312,0.0020313049998269984
329.458984,0.0020543444633689977
331.347656,0.0020779775032854627
333.234375,0.0021022012058717794
335.121094,0.0021270632095840678
337.007812,0.0021525881690321364
338.894531,0.00217880200665703
340.779297,0.0022057036502305376
342.664062,0.0022333483480394566
344.548828,0.00226176607968063
346.433594,0.0022909883336200416
348.318359,0.00232104824760972
350.201172,0.002351948247670339
352.085938,0.002383789170158465
353.96875,0.0024165436949542267
355.849609,0.002450249598326833
357.732422,0.002485019883843426
359.613281,0.002520827713142099
361.494141,0.0025577565075413262
363.375,0.0025958568277211326
365.255859,0.0026351822269570927
367.134766,0.0026757465532960267
369.015625,0.0027176940812094178
370.894531,0.0027610012277894612
372.773438,0.0028057781844594985
374.650391,0.00285204739925118
376.529297,0.0028999810435448407
378.40625,0.002949560013865969
380.283203,0.0030009189107091288
382.160156,0.0030541489202009662
384.035156,0.003109288733171314
385.912109,0.0031665567878949026
387.787109,0.003225944324845042
389.662109,0.0032876277200074334
391.537109,0.0033517330483282476
393.410156,0.0034183244591011915
395.283203,0.003487611606053558
397.15625,0.0035597491124063395
