Wavenumber (cm^-1),Intensity (a.u.)
3488.08,1352.7
3489.97,1350.66
3491.87,1351.84
3493.76,1351.6
3495.65,1350.62
3497.55,1352.36
3499.44,1351.72
3501.33,1351.94
3503.22,1350.64
3505.11,1351.92
3507.0,1352.6
3508.89,1350.72
3510.78,1352.16
3512.67,1351.88
3514.56,1351.96
3516.45,1351.38
3518.33,1351.48
3520.22,1352.08
3522.11,1351.98
3523.99,1351.4
3525.88,1351.96
3527.76,1351.14
3529.65,1351.58
3531.53,1350.9
3533.41,1350.42
3535.3,1351.52
3537.18,1351.3
3539.06,1350.36
3540.94,1351.9
3542.82,1351.42
3544.7,1351.7
3546.58,1351.98
3548.46,1351.58
3550.34,1350.86
3552.22,1350.48
3554.1,1351.48
3555.98,1351.74
3557.85,1351.84
3559.73,1351.54
3561.61,1351.42
3563.48,1351.34
3565.36,1350.86
3567.23,1351.12
3569.1,1351.78
3570.98,1352.28
3572.85,1351.8
3574.72,1351.76
3576.6,1352.58
3578.47,1351.12
3580.34,1352.16
3582.21,1350.88
3584.08,1352.46
3585.95,1351.36
3587.82,1350.86
3589.69,1351.52
3591.56,1351.96
3593.42,1353.04
3595.29,1351.06
3597.16,1351.66
3599.02,1351.94
3600.89,1351.14
3602.75,1351.12
3604.62,1351.44
3606.48,1350.58
3608.35,1350.4
3610.21,1351.64
3612.07,1351.3
3613.94,1352.1
3615.8,1350.8
3617.66,1350.62
3619.52,1351.18
3621.38,1350.14
3623.24,1350.92
3625.1,1351.6
3626.96,1350.82
3628.82,1352.32
3630.68,1351.06
3632.54,1350.12
3634.39,1351.54
3636.25,1351.9
3638.11,1351.8
3639.96,1351.64
3641.82,1351.9
3643.67,1351.52
3645.53,1351.52
3647.38,1351.2
3649.23,1351.38
3651.09,1351.32
3652.94,1352.56
3654.79,1350.58
3656.64,1350.78
3658.49,1350.84
3660.34,1351.48
3662.19,1350.58
3664.04,1351.96
3665.89,1351.02
3667.74,1351.16
3669.59,1352.56
3671.44,1352.42
3673.28,1350.4
3675.13,1351.86
3676.98,1352.98
3678.82,1350.78
3680.67,1351.3
3682.51,1351.2
3684.36,1352.3
3686.2,1351.4
3688.04,1351.32
3689.89,1352.16
3691.73,1350.52
3693.57,1351.96
3695.41,1351.48
3697.25,1351.2
3699.09,1350.28
3700.93,1350.02
3702.77,1350.36
3704.61,1352.04
3706.45,1351.02
3708.29,1351.56
3710.13,1351.62
3711.97,1351.08
3713.8,1351.8
3715.64,1351.68
3717.47,1350.08
3719.31,1351.26
3721.15,1352.24
3722.98,1351.32
3724.81,1350.26
3726.65,1350.88
3728.48,1350.9
3730.31,1350.98
3732.14,1351.32
