Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,412.5883575199896,51.986658847460745,0.04592823282804792,0.04592823282804792
2,voigt,519.1598424222627,54.25954694864369,0.109893052215551,0.109893052215551
3,voigt,624.9999999999999,99.99999999999999,0.005407934124170344,0.005407934124170344
4,voigt,717.7279427239495,48.81345010631507,0.09999999999999999,0.09999999999999999
5,voigt,764.2290403843662,25.49242386712601,0.5189577224901623,0.5189577224901623
6,voigt,779.8030220406367,13.459654631196186,0.6031647955086742,0.6031647955086742
7,voigt,874.6616928073896,47.224002492625374,0.11754160382858558,0.11754160382858558
8,voigt,924.9999915696322,22.16733574995161,0.13849588389573542,0.13849588389573542
9,voigt,949.5487416022074,13.774529130466515,0.5204117407629604,0.5204117407629604
10,voigt,950.601306184217,1.0221119761358415,8.593280893789645e-23,8.593280893789645e-23
11,lorentz,1335.0000000000002,41.853351071367015,2.312710550202116,0.03506090039702399
12,lorentz,1434.9999999999998,199.99999999999997,41.331011624954435,0.13154273693199575
13,lorentz,1587.8550478114407,199.99999999999997,33.754840738181656,0.10743040629882113
