Peak,Model,Assignment,Region (cm⁻¹),Center (cm⁻¹),Center 1σ (cm⁻¹),FWHM (cm⁻¹),FWHM 1σ (cm⁻¹),Area,Area 1σ,Relative Intensity,amp,amp 1σ,wid,wid 1σ,q,q 1σ
1,voigt,Si-Si TA 180-209,170-1700,207.42288591730644,1.3480329247651084,59.11358247856143,3.3430368160503092,12.751145343761126,1.0375626068906219,0.19180356184317884,0.19180356184317884,0.007888202417848756,36.09795330690421,2.041439240059207,,
2,voigt,Si-Si LA+LO ~260,170-1700,269.2003670461558,2.2800509893915453,78.38862196516503,5.4867786831686916,15.53899313762398,1.4757527468309557,0.1591673513909736,0.1591673513909736,0.006896486124996885,47.86833578420529,3.3505240658083584,,
3,voigt,unassigned — verify against report,170-1700,335.0000000000247,2.4424448668292684,2.8141622880367656,4.179656088290244,0.044139290127209206,0.06134668032733053,0.011427047521086852,0.011427047521086852,0.012168627206940535,1.7184798249783568,2.552324254577515,,
4,gauss,Si-Si TO ~500-540,170-1700,522.4543968377035,1.3528194308525399,47.452066940445356,3.3927159923241255,7.83937913449612,1.477361488754177,0.15509895260936996,0.1551996105885221,0.01915503585057381,20.151208994583556,1.4407660916262357,,
5,voigt,Si-C distorted bands 580-600,170-1700,553.1852207122139,2.3635236934323385,103.49830367840697,4.013377350167747,51.176750470093225,2.0001022905985213,0.37621388345790263,0.37621388345790263,0.01701687023118007,63.20166663696758,2.450785455935747,,
6,voigt,unassigned — verify against report,170-1700,646.854385888627,1.239878754224978,67.41859965070577,4.401939842696153,15.716350193915371,1.4962042458369178,0.17466534087348057,0.17466534087348057,0.007057893051010506,41.16944634662702,2.6880627467792584,,
7,gauss,Si-C highly disordered 760-770 (broad),170-1700,773.409096783501,1.6387537495157325,117.3857915099151,2.6677770417237197,106.05603447329248,5.0809843430544035,0.8486499745560505,0.8487581250142683,0.023455995700938502,49.849580223337476,1.1329102436886316,,
8,voigt,Si-C highly disordered 840-870,170-1700,838.0899114784633,4.828346046557653,39.85377224875693,18.854601219763925,9.534607329929061,22.82746755025345,0.17748074129085875,0.17748074129085875,0.34442611400387074,24.336870638171362,11.5136401125902,,
9,gauss,Si-C highly disordered 840-870 (broad),170-1700,871.6798649486968,5.331435768367061,57.844768297665865,26.48839503071831,36.94462334491314,23.784545924754337,0.5998119540965855,0.5999999999997004,0.11291808463887575,24.56462047633169,11.248681430706,,
10,voigt,Si-C slightly disordered 915-950,170-1700,910.2461322609277,7.611552898641035,49.72821694607076,11.243591266435013,40.163078095415855,10.723267589877036,0.5999999999999999,0.5999999999999999,0.08987382891399656,30.36674107859872,6.865945447949423,,
11,voigt,Si-C slightly disordered 915-950,170-1700,932.9121943737591,2.1575792352101915,34.6166356959686,4.131004784358014,22.5919954295928,13.978582687987297,0.4830615667077432,0.4830615667077432,0.24713589863484964,21.138791570420786,2.5226151343490213,,
12,gauss,C-C sp3 ~1070-1090,170-1700,1069.253097760731,4.087847235801816,96.15455102230575,10.731730233158004,6.823739885604543,1.4248695898503336,0.06666167811073855,0.06666789031177245,0.007582509882087288,40.833425778115235,4.557385014867564,,
13,bwf,unassigned — verify against report,170-1700,1172.683822554281,37.231455114864474,218.05430331191442,213.21477794717376,9.605586974335308,7.975045002023727,0.02019427080767561,0.016989496839597128,0.0056557390530564645,99.99999999998136,97.21477221840595,2.3020952002369746,1.6962857728090825
14,lorentz,C-C D-band 1380-1420 (mixed sp2/sp3),170-1700,1394.042129282272,1.7749346740931817,199.99999999997834,13.578022404320333,62.83185307178822,8.045014331255137,0.199991670279667,0.19999999999999732,0.012933759943323577,99.99999999998917,6.789011201934058,,
15,bwf,C-C G-band 1560-1600 (sp2),170-1700,1589.6654254336165,2.3962108954514614,122.07410130079025,5.119068654899771,39.813302619928386,3.5772023687067223,0.19267598728229732,0.19098385514425426,0.004459331723190973,60.763240397944195,2.488912224199895,-10.52184524968675,3.4538229612254514
