Peak,Model,Assignment,Region (cm⁻¹),Center (cm⁻¹),Center 1σ (cm⁻¹),FWHM (cm⁻¹),FWHM 1σ (cm⁻¹),Area,Area 1σ,Relative Intensity,amp,amp 1σ,wid,wid 1σ,q,q 1σ
1,voigt,Si-Si cryst Si TA ~214,170-1700,213.2885865285511,1.335592710594522,39.836981864752204,3.96307756852009,5.66522916380147,0.7100628082492556,0.11588415501741921,0.1158841550174192,0.008117779355464731,24.32661752082684,2.4200696866860647,,
2,voigt,Si-Si LA+LO ~260 (figure shoulder),170-1700,273.26268325618355,1.7533020166105207,80.20605471495429,4.618320700504892,17.80982425174367,1.0487494598325364,0.1780083928699567,0.1780083928699567,0.0046773505408091885,48.978158599699924,2.820196611426955,,
3,voigt,Si-Si / Si-O ~432,170-1700,433.4576213310521,3.72874270999269,9.668655716136621,10.429460914154186,0.18359871758022603,0.16132567787582391,0.013736763817773038,0.013736763817773038,0.010697599042435156,5.904204549068059,6.368793385767594,,
4,gauss,Si-Si Si TO ~534,170-1700,536.0789109015678,1.5929801822720817,52.37137855568449,2.8029613923391796,17.926910441534595,1.9217540552633119,0.32151810463261454,0.3215700076460287,0.018794735571649217,22.240266075965895,1.1903182402750379,,
5,voigt,Si-C disordered SiC ~586,170-1700,585.2272703505796,4.614550810824984,62.12196746768089,7.357697159342186,13.708274413724716,2.6192152471346217,0.16531604527176152,0.16531604527176152,0.013757848266805962,37.93503602652808,4.493008161084111,,
6,voigt,Si-C disordered SiC ~660,170-1700,658.7926652876324,1.0817034818398377,28.062713222304502,3.4109077080332497,3.349683096142489,0.4031119876478214,0.0884449863721842,0.0884449863721842,0.006662737080678068,17.136611741154002,2.082884880318482,,
7,voigt,Si-C highly disordered SiC ~773,170-1700,771.5093821580471,0.6500112698638075,93.68864012735445,1.591876087136809,85.26796238421397,2.0793814930481935,0.6847208839837702,0.6847208839837702,0.007433661377083855,57.21135507108071,0.9720857077891433,,
8,voigt,Si-C highly disordered SiC ~849,170-1700,865.1296193958003,2.791963579466675,73.36151763089033,5.717467198589423,61.30719259337304,8.881767753638117,0.624965630598561,0.624965630598561,0.04436981609534857,44.79851375822004,3.4913949606998886,,
9,voigt,Si-C highly disordered SiC ~885,170-1700,906.6832259906323,1.7077703228168362,45.11619281878795,6.301123760169154,31.27372377071541,10.045414690205737,0.51438429940138,0.51438429940138,0.09442205473505502,27.550389495485838,3.8478072503751326,,
10,gauss,Si-C highly disordered SiC (broad envelope),170-1700,937.4632354769235,1.0894387300059305,35.357329484208016,1.6111628545288113,23.946852999031186,3.1069863602384418,0.6362562268421105,0.6362577503608161,0.05534041012444102,15.015003178277567,0.6842036921972549,,
11,bwf,"C-C sp3 ~1082 (asymmetric, right tail)",170-1700,1037.8206715492147,2.4234952177536,84.32804160506959,12.198839650504146,89.5214605393198,4.0893823662346085,0.07686414506132033,0.02702244423575843,0.003847569566615451,24.999999999999996,3.1575900462120865,0.7363124584529838,0.06379223591995038
12,voigt,C-C sp3 ~1226,170-1700,1212.0381045182746,5.019392753106199,1.6376361677165305,6.0437532466654424,0.03265379766031204,0.06716720241731719,0.013232768033661831,0.013232768033661831,0.01642709417186041,1.0000292900090781,3.690642883413935,,
13,lorentz,C-C sp2 D band ~1418,170-1700,1427.5411162368832,1.6451608315499027,199.99999999999997,7.581467648766879,46.66901696083943,2.0024353961578196,0.14855126580225295,0.14855209477114198,0.002876356484407202,99.99999999999999,3.7907338242575994,,
