Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,442.2629373019654,14.290740815053764,0.04053576085578823,0.04053576085578823
2,voigt,530.228339329567,31.53665255929003,0.3207545443893218,0.3207545443893218
3,voigt,568.828318322609,26.499664341674478,0.19999595566984688,0.19999595566984688
4,voigt,662.9395853916386,6.958788654038764,0.061530365962718755,0.061530365962718755
5,voigt,779.2380430332347,44.299699445190775,0.6495524593206671,0.6495524593206671
6,voigt,868.5525159273611,36.28068619486824,0.421950731292382,0.421950731292382
7,voigt,915.080557576636,27.275315866055696,0.42018621016064217,0.42018621016064217
8,voigt,943.4520241095211,15.885113388166078,0.47254679517897685,0.47254679517897685
9,gauss,1102.024763891672,73.49073632115223,2.6232570580078476,0.03352816129090699
10,lorentz,1423.281299214981,186.1911926212017,27.79264612107578,0.095025536055812
11,bwf,1601.4286594667694,2.0000005987493457,43.01625564909379,0.02357646301150912
