Raman Shift (cm-1),Fitted Intensity
171.300781,0.003588273699443996
173.222656,0.0035990571994220467
175.146484,0.003609900327611403
177.068359,0.0036207813609888647
178.990234,0.003631711576378076
180.910156,0.0036426800872781597
182.832031,0.0036537095068602332
184.751953,0.003664777719078619
186.671875,0.0036758962087054723
188.591797,0.003687065280067336
190.511719,0.0036982852397918656
192.429688,0.0037095449053644743
194.347656,0.003720855968574826
196.265625,0.003732218753914872
198.183594,0.003743633570574035
200.099609,0.003755089026688527
202.015625,0.0037665970499158727
203.933594,0.003778169766786099
205.847656,0.0037897720615737746
207.763672,0.0038014397061273807
209.677734,0.0038131492305974813
211.59375,0.0038249248736997054
213.507812,0.003836742950359409
215.419922,0.0038486036412254745
217.333984,0.003860531500223006
219.246094,0.003872502538610602
221.158203,0.0038845292283867902
223.070312,0.0038966119205852403
224.982422,0.003908750969024678
226.892578,0.00392093422555831
228.802734,0.0039331744181356695
230.712891,0.003945471907725758
232.623047,0.003957827038726018
234.533203,0.003970240177615462
236.441406,0.003982698906085011
238.349609,0.0039952162505874364
240.257812,0.004007792578550904
242.166016,0.004020428266917686
244.072266,0.004033110651545558
245.980469,0.00404586610168795
247.886719,0.0040586688858055345
249.791016,0.004071519198705278
251.697266,0.004084443781896045
253.601562,0.004097416531522668
255.507812,0.0041104644599505085
257.412109,0.004123561216747271
259.314453,0.0041367070050235735
261.21875,0.004149929214228517
263.121094,0.004163201124006195
265.023438,0.004176536665636598
266.925781,0.004189936238498229
268.828125,0.004203400266359771
270.728516,0.004216915232608536
272.628906,0.004230495334490561
274.529297,0.004244141004597202
276.429688,0.004257852657453846
278.330078,0.004271630710833806
280.228516,0.0042854613450735235
282.126953,0.004299359101503763
284.025391,0.0043133244288177655
285.923828,0.004327357749859707
287.822266,0.004341459520509485
289.71875,0.004355615557100655
291.615234,0.0043698407857535515
293.511719,0.004384135664544644
295.40625,0.004398485803320498
297.302734,0.004412921253113542
299.197266,0.0044274127509122295
301.091797,0.0044419755746281575
302.986328,0.004456610199631921
304.878906,0.004471301899335686
306.773438,0.004486081478074317
308.666016,0.004500918927119381
310.558594,0.004515829934199316
312.449219,0.004530799483276679
314.341797,0.004545858990529855
316.232422,0.004560977868070134
318.123047,0.004576172114034915
320.013672,0.00459144222887798
321.904297,0.004606788717202621
323.792969,0.0046221961157441515
325.681641,0.004637680749241207
327.570312,0.004653243125126359
329.458984,0.004668883779871659
331.347656,0.00468460322959289
333.234375,0.00470038562497931
335.121094,0.0047162477115919865
337.007812,0.004732190016911912
338.894531,0.00474821309829109
340.779297,0.004764300779923598
342.664062,0.004780470145215885
344.548828,0.0047967217638276455
346.433594,0.004813056184369169
348.318359,0.004829473959987789
350.201172,0.004845958531984922
352.085938,0.0048625446607848555
353.96875,0.004879198539339777
355.849609,0.0048959204907269085
357.732422,0.004912745834391493
359.613281,0.004929640235349339
361.494141,0.004946621711936668
363.375,0.004963690843673442
365.255859,0.004980848242262492
367.134766,0.004998076570702136
369.015625,0.005015412238641933
370.894531,0.005032819871042216
372.773438,0.005050318053068512
374.650391,0.0050678890627055715
376.529297,0.0050855701070852775
378.40625,0.005103325066218322
380.283203,0.005121172912180033
382.160156,0.005139114292096062
384.035156,0.005157131043243212
385.912109,0.0051752613559846025
387.787109,0.005193468163237033
389.662109,0.005211770948373053
391.537109,0.005230170385130867
393.410156,0.005248647836044691
395.283203,0.005267223099031693
397.15625,0.005285896863560628
399.029297,0.005304669825167172
400.902344,0.005323542685517917
402.773438,0.005342496316462473
404.646484,0.0053615709879189875
406.517578,0.005380727661263497
408.388672,0.005399986886916791
410.257812,0.005419329121311098
412.128906,0.0054387955420717535
413.998047,0.0054583462441658214
415.867188,0.005478002240150174
417.736328,0.005497764274474953
419.603516,0.0055176123138141065
421.470703,0.005537567696329353
423.339844,0.005557652258978241
425.207031,0.005577824789696989
427.072266,0.00559808575420552
428.939453,0.00561847835288187
430.804688,0.005638960747493102
432.669922,0.005659554994102549
434.535156,0.0056802619170414695
436.400391,0.005701082348265983
438.263672,0.00572199511379752
440.126953,0.00574302279850925
441.990234,0.00576416624314272
443.853516,0.005785426307560084
445.716797,0.005806803825125915
447.578125,0.005828277078106045
449.439453,0.005849869280948253
451.300781,0.0058715813108677906
453.162109,0.005893414053158034
455.023438,0.005915368413107979
456.882812,0.005937422028274088
458.742188,0.005959598825035754
460.601562,0.005981899671297609
462.460938,0.006004325539151518
464.318359,0.006026853559338432
466.177734,0.006049532083254053
468.035156,0.006072314405928443
469.892578,0.006095225237154506
471.748047,0.006118241247718161
473.605469,0.006141411862491169
475.460938,0.006164689336639812
477.316406,0.006188098941111178
479.171875,0.006211641699837391
481.025391,0.0062352936160338344
482.880859,0.006259105536402797
484.734375,0.006283028384443894
486.587891,0.006307088173549261
488.441406,0.006331285934318856
490.292969,0.006355597029928926
492.146484,0.006380073782853602
493.998047,0.006404665709963906
495.849609,0.006429399582112969
497.701172,0.006454276517249523
499.550781,0.0064792711220760055
501.402344,0.006504437318607115
503.251953,0.006529723110465174
505.101562,0.006555156109923908
506.949219,0.006580710382440838
508.798828,0.006606441074497661
510.646484,0.006632295023183572
512.494141,0.006658300504258861
514.341797,0.006684458672793631
516.189453,0.006710770737724293
518.035156,0.006737209847283884
519.880859,0.0067638049471231785
521.728516,0.0067905856699718254
523.572266,0.006817468052406726
525.417969,0.006844538534221477
527.261719,0.006871741088436861
529.107422,0.006899134619827194
530.951172,0.006926662443436108
532.792969,0.0069543253376462095
534.636719,0.00698218327984235
536.478516,0.007010178575507987
