Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,207.12541977723845,32.080928041984414,3.0217068530125184,0.07615185850470015
2,voigt,274.0641326301256,112.54957009593107,24.30216582098642,0.17993988414837253
3,voigt,435.5288873512292,27.813106861278577,2.0964989863291748,0.05593654726015481
4,voigt,545.8557501874925,42.058649431644405,15.644413887499564,0.27736067180006585
5,voigt,520.4337146254021,27.715758366471285,11.974517284880152,0.3204137397842564
6,voigt,578.9137911950443,59.06705315093893,15.771706519522475,0.2
7,voigt,662.0153072917117,29.944440223603838,6.740730756422415,0.1666789555681049
8,lorentz,766.4329845295964,9.562959877852938,1.6120266293154846,0.10434086438481188
9,lorentz,787.7161811384832,7.210728130354387,4.444673782208488,0.37450058896313965
10,lorentz,796.0926047580897,10.078232719176318,1.7776019299572632,0.11205116791456657
11,gauss,768.7153941947008,85.15686647920033,54.51997183557848,0.6014277713893426
12,voigt,845.9422298082608,45.564824563542786,22.560047491142942,0.36794018706788306
13,voigt,951.8427370259284,24.0611250236553,18.90423682547233,0.5805571617668013
14,voigt,935.7261393957789,25.26956818295964,9.15885097243833,0.26804403340855043
15,gauss,916.7046875000027,55.12407594948876,35.206956188524344,0.5999518791560495
16,voigt,876.6452908212898,48.02876877112531,28.712840119604504,0.4440681185733924
17,gauss,1090.780488413764,84.14945094611339,6.098050996669418,0.06807553033654183
18,gauss,1246.6943480562775,216.24519369153762,15.35694115161,0.06671270857485848
19,lorentz,1414.9383906857386,97.00413589255696,29.588234915879752,0.19417007612101672
