region,n_points,n_params,R2,RMSE,residual_variance
450-550,54,3,0.8886037133557869,0.05181023775854939,0.002842200779926677
560-580,11,3,-207.48103266209003,0.28968827495824884,0.11538903289139321
650-1160,289,12,0.9880742196765631,0.03853366802157312,0.0015491689244616505
1350-1750,246,6,0.7674742242748537,0.0355949914204103,0.00129867849957456
