Raman Shift (cm-1),Processed Intensity
171.300781,0.12674926126250607
173.222656,0.08345706822682511
175.146484,0.03430377561313281
177.068359,0.011797856069972362
178.990234,0.007134063187232637
180.910156,0.007669137019088325
182.832031,0.00649500622534579
184.751953,0.0065326914688513356
186.671875,0.008114913477780875
188.591797,0.0074219493777440745
190.511719,0.0068485016174167175
192.429688,0.006640259832283366
194.347656,0.00856803404103555
196.265625,0.008870558652302228
198.183594,0.007165511124173963
200.099609,0.008605848070677309
202.015625,0.0060449048551521525
203.933594,0.007603151791281917
205.847656,0.007644663207905706
207.763672,0.007942156905627168
209.677734,0.007300780472722182
211.59375,0.009169508851145433
213.507812,0.006551217484365181
215.419922,0.006553818456053873
217.333984,0.008452221347644298
219.246094,0.008449872151195036
221.158203,0.008309216110784336
223.070312,0.007721820192426719
224.982422,0.007748423780024312
226.892578,0.008969286299872621
228.802734,0.008855088478493197
230.712891,0.009886463586417421
232.623047,0.008273174428581396
234.533203,0.01044854689912969
236.441406,0.012399879295293839
238.349609,0.012187175666404109
240.257812,0.01131689108211468
242.166016,0.011074307924505682
244.072266,0.008232396897787974
245.980469,0.007786386581817263
247.886719,0.008166519168319182
249.791016,0.011761421446750154
251.697266,0.024415111154693026
253.601562,0.037765227294078337
255.507812,0.03169240638159885
257.412109,0.019459450710191995
259.314453,0.010687105476447406
261.21875,0.009875520391321715
263.121094,0.00970568517011189
265.023438,0.007984201477808704
266.925781,0.009768506043504334
268.828125,0.009220130558428507
270.728516,0.009736004148365195
272.628906,0.00898459017588644
274.529297,0.009608212773041637
276.429688,0.009770854625538552
278.330078,0.009521868093890587
280.228516,0.009394848446583377
282.126953,0.00912917456733453
284.025391,0.010749731012237822
285.923828,0.009883934546169083
287.822266,0.010407829961477408
289.71875,0.010731061011967895
291.615234,0.013315551634401259
293.511719,0.01250409194192259
295.40625,0.01292185496846805
297.302734,0.013823336920588656
299.197266,0.013765052036173368
301.091797,0.014090836780710032
302.986328,0.012522520139478455
304.878906,0.013791024069907697
306.773438,0.012006714052930502
308.666016,0.011378483246428869
310.558594,0.012966462985346613
312.449219,0.012808354695479772
314.341797,0.0119753897814454
316.232422,0.010454478820575217
318.123047,0.01102668654606015
320.013672,0.010761682079502467
321.904297,0.01217954355428424
323.792969,0.012622857992283689
325.681641,0.01270277938659218
327.570312,0.011482601255312292
329.458984,0.013082938712944624
331.347656,0.011846781899347531
333.234375,0.012757624714755911
335.121094,0.012680083210607977
337.007812,0.013901087362536675
338.894531,0.012408007720214291
340.779297,0.01218837427559003
342.664062,0.011016572465547875
344.548828,0.010756194804836897
346.433594,0.012546652316608882
348.318359,0.012471508401384954
350.201172,0.012870662549802129
352.085938,0.012742777755261458
353.96875,0.012788801265532956
355.849609,0.012344886603290141
357.732422,0.015307947020961473
359.613281,0.012931644962591428
361.494141,0.013047779941942653
363.375,0.013363341510272773
365.255859,0.013351721805120368
367.134766,0.014480395583714912
369.015625,0.014704990530000905
370.894531,0.014175423841075544
372.773438,0.013192536681008424
374.650391,0.012270776736014016
376.529297,0.013206192276651109
378.40625,0.014103149097628633
380.283203,0.01268756584111981
382.160156,0.013280957786889197
384.035156,0.013898610774312606
385.912109,0.013773724505258232
387.787109,0.013257822713005506
389.662109,0.013595952174469543
391.537109,0.014084155484529971
393.410156,0.013262802771760437
395.283203,0.013598009821265366
397.15625,0.013378442786762824
399.029297,0.011634145494852697
400.902344,0.0124322426557315
402.773438,0.012952539633722393
404.646484,0.011040265620558062
406.517578,0.012390380432448354
408.388672,0.012756894487380637
410.257812,0.012845234638054266
412.128906,0.010662652323411514
413.998047,0.01057214805501725
415.867188,0.009559676889288268
417.736328,0.010161207803061416
419.603516,0.010345570455451333
421.470703,0.007461188004810369
423.339844,0.00822425508426731
425.207031,0.008809972231364944
427.072266,0.0086623480143945
428.939453,0.008096852562415892
430.804688,0.008781585244844979
432.669922,0.008429178516497675
434.535156,0.008543697132098705
436.400391,0.007557137237286507
438.263672,0.00744226096898759
440.126953,0.006605348934749025
441.990234,0.006045761328431464
443.853516,0.006814370314411762
445.716797,0.004556474583737891
447.578125,0.005450303834832656
449.439453,0.003987716384425517
451.300781,0.005260532095795981
453.162109,0.003745201536997985
455.023438,0.00461154926500068
456.882812,0.003537822875275428
458.742188,0.003388684117791477
460.601562,0.0023890208677252063
462.460938,0.003075619134583353
464.318359,0.0017823270528854974
466.177734,0.0025693988415747744
468.035156,0.0022136393348045724
469.892578,0.0017809437315045138
471.748047,0.0013474630896092028
473.605469,0.00045588616970227173
475.460938,0.0011135210680579721
477.316406,0.001262525368979296
479.171875,0.0
481.025391,0.0002494401977836554
482.880859,0.0006892143694518666
484.734375,0.0006834439344226931
486.587891,0.00046085191561173224
488.441406,0.000950306400937808
490.292969,0.0013121855370576323
492.146484,0.001329972132043118
493.998047,0.002977276067212614
495.849609,0.0015933835227711184
497.701172,0.003508053555149845
499.550781,0.0064425238217005075
501.402344,0.009734699692391246
503.251953,0.016189456215222362
505.101562,0.020810454894805715
506.949219,0.030534621497942418
508.798828,0.04180619637908837
510.646484,0.05914308911624959
512.494141,0.08178355605583858
514.341797,0.10685894241610584
516.189453,0.1313831483214825
518.035156,0.1546151210973081
519.880859,0.1679573811895851
521.728516,0.16731498860188898
523.572266,0.1581482364633643
525.417969,0.14222817344084074
527.261719,0.12566152932889055
529.107422,0.10904885674674986
530.951172,0.09366922482933397
532.792969,0.08194137513083934
534.636719,0.07251129858583444
536.478516,0.06740275730232419
538.322266,0.05976972341303221
540.164062,0.056268865757667416
542.003906,0.05226667883967557
543.845703,0.04716075802299366
545.685547,0.043026081880116994
547.525391,0.03927376677557621
549.365234,0.03733974295642618
551.205078,0.03710982670709313
553.044922,0.03257061600357791
554.882812,0.032415976470701206
556.720703,0.029438449887522766
558.558594,0.027344812772342922
560.396484,0.026238315461862408
562.232422,0.024822986563467497
564.068359,0.027644311740722464
565.90625,0.03282988458687824
567.740234,0.032557711211505275
569.576172,0.030653297283101406
571.412109,0.025907471970964734
573.246094,0.02163499347437966
575.080078,0.01928912306663047
576.914062,0.015527327935989777
578.746094,0.014825218274117622
580.580078,0.014727290716071312
582.412109,0.015221133325108181
584.244141,0.013449533341856975
586.076172,0.01266831883829981
587.90625,0.012440343565073198
589.738281,0.010975545541259416
591.568359,0.010888464242575183
593.398438,0.009924921929292011
595.228516,0.009154118468413927
597.056641,0.008859833108410447
598.886719,0.008474981702207451
600.714844,0.0071612127469193165
602.542969,0.00865895941594869
604.371094,0.008557243580838085
606.197266,0.006454970026778261
608.025391,0.006997873219296328
609.851562,0.006727493623273165
611.677734,0.007089659682716206
613.503906,0.006999755544574975
615.328125,0.009002735602731961
617.152344,0.010644634046665241
618.978516,0.011783023963416179
620.800781,0.01050421884964001
622.625,0.012832541050713459
624.449219,0.012212805966526408
626.271484,0.012757047838257587
628.09375,0.011929807424273301
629.916016,0.011891608310864214
631.738281,0.011477873547939076
633.558594,0.010960313016717864
635.380859,0.011206527895394646
637.201172,0.010027861515883679
639.021484,0.011077143279640682
640.839844,0.010182905483302595
642.660156,0.010597360118582814
644.478516,0.011867656375434106
646.296875,0.010622651321011888
648.115234,0.011374532004516697
649.933594,0.010543888224816575
651.75,0.010231904709979362
653.566406,0.009283737948713861
655.382812,0.00958137879121743
657.199219,0.009788209556298215
659.015625,0.007592317358612291
660.830078,0.008721062246898064
662.646484,0.007511387836502122
664.460938,0.0077827380577705245
666.275391,0.008015177001797382
668.087891,0.00737655699972863
669.902344,0.007634935639790144
671.714844,0.009012069180052344
673.527344,0.009674181626737345
675.339844,0.007981142572691028
677.150391,0.008474075535267024
678.962891,0.008368285366411845
680.773438,0.008366620105367113
682.583984,0.006541480064876967
684.394531,0.008298083830945612
686.205078,0.008035717904503553
688.013672,0.0073301212075706735
689.822266,0.007784398265359818
691.630859,0.007756424016459545
693.439453,0.00647641261473141
695.248047,0.007139457878024133
697.054688,0.007320061253534311
698.861328,0.007644278060547748
700.667969,0.0070549078793521606
702.474609,0.007770862917096988
704.28125,0.006854775015942307
706.085938,0.006917928167931206
707.890625,0.0071770706386668085
709.695312,0.006573884232541763
711.5,0.006833058264740505
713.304688,0.006360250791709661
715.107422,0.007757102336198856
716.910156,0.007676676338740006
718.712891,0.007504648899235356
720.515625,0.008143773904805987
722.318359,0.007801638978150401
724.119141,0.007956806514523037
725.919922,0.009264223151979358
727.720703,0.010323388044663004
729.521484,0.010610204885826882
731.322266,0.009338085821790474
733.121094,0.010804235871326093
734.919922,0.012035113949316525
736.71875,0.012348822388424614
738.517578,0.013685489925367647
740.316406,0.013330818330013572
742.113281,0.01458960745208395
743.910156,0.017685951682411143
745.707031,0.015205855994550797
747.503906,0.01713538240034241
749.300781,0.01675490026099576
751.095703,0.019105910680191712
752.890625,0.018830829008985132
754.685547,0.021222744908991373
756.480469,0.025034979814364405
758.275391,0.02996613154975971
760.068359,0.03755517526874773
761.861328,0.05660106203436711
763.654297,0.10150035347474451
765.447266,0.22032726403853217
767.240234,0.38785251571089774
769.03125,0.43132626163500437
770.822266,0.30868724450629154
772.613281,0.1751848776838061
774.404297,0.10627547651608654
776.195312,0.09316218361526984
777.984375,0.1275280261044429
779.773438,0.2665851242537851
781.5625,0.6332116659487758
783.351562,0.9999708192751167
785.140625,1.0
786.927734,0.7246114660558546
788.714844,0.4695653699753898
790.501953,0.33184947399307463
792.289062,0.3159747003376038
794.076172,0.3796969492934089
795.861328,0.39597786392540346
797.646484,0.2944590882352843
799.433594,0.16065093919553974
801.216797,0.07933199789566844
803.001953,0.042435125674028934
804.785156,0.02813911434292807
806.570312,0.020513680638877745
808.353516,0.016944807008387054
810.136719,0.01676052988748907
811.917969,0.012977663516656596
813.701172,0.01239547693865215
815.482422,0.010118913670777798
817.263672,0.00896664741996779
819.044922,0.010343003867011763
820.824219,0.00911086111258299
822.605469,0.009348599582684101
824.384766,0.007969972652550374
826.164062,0.008644953100383193
827.943359,0.009094880684017006
829.722656,0.005859116917885923
831.5,0.00755525033410851
833.279297,0.0067849261022124244
835.056641,0.006054106272992328
836.832031,0.00663672302053632
838.609375,0.006038286499202609
840.386719,0.007975256038482438
842.162109,0.007244084660271274
843.9375,0.006937604009402675
845.712891,0.005913632032729412
847.488281,0.00673614117441235
849.261719,0.006894525413313879
851.035156,0.006521251313587955
852.810547,0.005576061030133044
854.582031,0.006904591197270127
856.355469,0.00706311886962782
858.128906,0.008312679321682925
859.900391,0.007313843174426869
861.671875,0.007006707986875164
863.443359,0.005980511131129361
865.214844,0.005726185318813062
866.984375,0.004566071057022231
868.755859,0.008241232837434491
870.525391,0.006588119524427103
872.294922,0.005987158309312126
874.064453,0.007132192406794918
875.832031,0.007304400545857187
877.601562,0.0074099598571429086
879.369141,0.007929079030070703
881.136719,0.008141528345258048
882.904297,0.008567569276511078
884.669922,0.010088304060563607
886.4375,0.009059680831710229
888.203125,0.011168669752044261
889.96875,0.010246654763137051
891.734375,0.008763129670451997
893.498047,0.008735424208115338
895.263672,0.008186410069770608
897.027344,0.007851042702812625
898.791016,0.0081037978089188
900.554688,0.008115908721378667
902.316406,0.007780224995506393
904.080078,0.007738667672303899
905.841797,0.008433113602164602
907.603516,0.007481437274547109
909.365234,0.00912657689879383
911.126953,0.009406522081405886
912.886719,0.009525829793417819
914.646484,0.008774365433542394
916.408203,0.009670640817054531
918.166016,0.010366273505741281
919.925781,0.010968288654093885
921.685547,0.010377179377437542
923.443359,0.012414356400468295
925.201172,0.012104914818690013
926.958984,0.013687052819385434
928.716797,0.014719607014593041
930.472656,0.018235761567709258
932.230469,0.018021043264954576
933.986328,0.017336194904782866
935.742188,0.018544797243159116
937.496094,0.01974045728012259
939.251953,0.020721539809065735
941.005859,0.023503949597498987
942.761719,0.024311358865223683
944.515625,0.026665336522007036
946.267578,0.02864371037403344
948.021484,0.031120542891827786
949.773438,0.03341003198184549
951.527344,0.03470454738897089
953.279297,0.038449330322907815
955.029297,0.04344772876711632
956.78125,0.05052194573274108
958.533203,0.05662934198469258
960.283203,0.06609379885297015
962.033203,0.08198964719932936
963.783203,0.10238029278626175
965.53125,0.12344018829204328
967.28125,0.14239208455937702
969.029297,0.15973372045170597
970.777344,0.16479403171607673
972.525391,0.16161275070668973
974.273438,0.16035975936158456
976.019531,0.15515127283387822
977.767578,0.14953538954605705
979.513672,0.14383599846272108
981.259766,0.13504102688932182
983.005859,0.12712026604140156
984.75,0.11702052948613882
986.496094,0.10913283207020102
988.240234,0.10106589792050104
989.984375,0.09269794252593519
991.728516,0.08555694011254651
993.470703,0.07896738033076456
995.214844,0.0712248087036064
996.957031,0.06737623309672008
998.699219,0.06054805089054875
1000.441406,0.058008516028466565
1002.181641,0.0523126523370195
1003.923828,0.049851271831464775
1005.664062,0.044232229897780535
1007.404297,0.041429064021638595
1009.144531,0.03771652347864378
1010.884766,0.03756745626568027
1012.623047,0.03271329517911405
1014.363281,0.031301570420286126
1016.101562,0.029482196109539713
1017.839844,0.027661904404933154
1019.576172,0.027062050349503472
1021.314453,0.025267317134972912
