Raman Shift (cm-1),Processed Intensity
171.300781,0.08952764832414362
173.222656,0.059625971314081865
175.146484,0.030142679904926716
177.068359,0.014876023172075552
178.990234,0.012602929788408754
180.910156,0.012709711939164509
182.832031,0.013885519785506133
184.751953,0.013384207668663411
186.671875,0.013553818397445443
188.591797,0.015788494862352464
190.511719,0.016306043679064894
192.429688,0.014627042752441578
194.347656,0.015770888344211986
196.265625,0.015156269334973464
198.183594,0.01728660245119962
200.099609,0.01582384265360624
202.015625,0.016827814497630704
203.933594,0.017149179167027667
205.847656,0.017664522477318974
207.763672,0.01610005431970714
209.677734,0.016246015108293148
211.59375,0.01638726987453859
213.507812,0.01848018592047286
215.419922,0.01681421968876113
217.333984,0.019138106855927522
219.246094,0.017302025927632025
221.158203,0.018977721146962
223.070312,0.019769904783855964
224.982422,0.018758302897827914
226.892578,0.02198106319210006
228.802734,0.02112009343163811
230.712891,0.021534658402047782
232.623047,0.021984924922626662
234.533203,0.022390896740554812
236.441406,0.021751366521297947
238.349609,0.023670397897399238
240.257812,0.021580039429969475
242.166016,0.023130650040115535
244.072266,0.022954225388549278
245.980469,0.022172388334243565
247.886719,0.02391184689573144
249.791016,0.024645219214186324
251.697266,0.038531936543515055
253.601562,0.061287511245058636
255.507812,0.058927659788573186
257.412109,0.042032159177715224
259.314453,0.029581567645427964
261.21875,0.02595628843135194
263.121094,0.023691085920462727
265.023438,0.022626317765776845
266.925781,0.022401182867311017
268.828125,0.023297625978776156
270.728516,0.024271075162301578
272.628906,0.02282865455486906
274.529297,0.025001767234808722
276.429688,0.022264362077637382
278.330078,0.024310490632645725
280.228516,0.02353667074998697
282.126953,0.02489259958275478
284.025391,0.025279347359072467
285.923828,0.026830812686829027
287.822266,0.026446059343723072
289.71875,0.025856284957788314
291.615234,0.025262965165978916
293.511719,0.02708469375365627
295.40625,0.0291861881341988
297.302734,0.03128549996006988
299.197266,0.030236322466816196
301.091797,0.03176566273406933
302.986328,0.03050818415852169
304.878906,0.027672896567195193
306.773438,0.029476170976421193
308.666016,0.026673815696588016
310.558594,0.02568481545084184
312.449219,0.02586400266655033
314.341797,0.02438371932700018
316.232422,0.023950742257297947
318.123047,0.024444561077146057
320.013672,0.024208003662202812
321.904297,0.024696584248902555
323.792969,0.024818572591342115
325.681641,0.02283394746409965
327.570312,0.02549990086652147
329.458984,0.02363072219894677
331.347656,0.026171369373328805
333.234375,0.02506581124757767
335.121094,0.024281294818197206
337.007812,0.02434475924652065
338.894531,0.02213641881164361
340.779297,0.02004627675871943
342.664062,0.023588197450396226
344.548828,0.02035723694960972
346.433594,0.020772922056080792
348.318359,0.021064773909669144
350.201172,0.02094870554417373
352.085938,0.020586775451787998
353.96875,0.021399769120158244
355.849609,0.021358245179308174
357.732422,0.020948965495599034
359.613281,0.018303109273860186
361.494141,0.020326668841199092
363.375,0.018894528262931573
365.255859,0.021727966988535158
367.134766,0.01878704357952209
369.015625,0.019136902375023072
370.894531,0.01924089809554603
372.773438,0.018041032118115283
374.650391,0.019036285745744397
376.529297,0.0169772108325057
378.40625,0.01914956540099253
380.283203,0.01728953174613491
382.160156,0.0179521733814638
384.035156,0.01898003075888561
385.912109,0.01756154793104063
387.787109,0.017771067640531543
389.662109,0.016715164803975193
391.537109,0.016717274917914034
393.410156,0.01606520601190258
395.283203,0.015859927043656286
397.15625,0.01414319308727327
399.029297,0.01646451674335351
400.902344,0.014580680189482796
402.773438,0.01379694064176815
404.646484,0.013909704535047324
