Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,218.15554609942978,46.44524671827389,25.825128092613294,0.45461208216183363
2,voigt,262.8070297760176,63.363255506938856,28.409035465951018,0.35516410011787086
3,voigt,318.93698449931037,8.949776375865664,1.255241588708109,0.09776762884781529
4,voigt,464.4770038825238,44.686595169664486,11.93944751944446,0.19999999999999998
5,voigt,503.928822340159,63.17497395635446,24.088086885776505,0.28689966942964196
6,voigt,542.4626630382162,69.08217217808624,32.274992676960686,0.3515388276737642
7,voigt,689.8762272136719,38.70616386765449,9.384395179688704,0.17969604779516185
8,lorentz,721.3972509544004,13.843496120590824,4.770093385329875,0.2193215818117164
9,lorentz,785.3250414845858,17.307638784038797,3.087162514125914,0.11170521388043153
10,lorentz,804.02515887878,2.0000000000000004,1.2346887702238467,0.15007860399802372
11,gauss,752.8530981330331,52.53026325836405,14.238019581210704,0.2542669895386397
12,voigt,811.9583156912281,1.6376740435432886,0.531656063633572,0.0885313450778204
13,voigt,1034.0524699946836,24.86954040586585,1.697238496049317,0.050348844040442826
14,voigt,908.1605451205301,1.797054934707049,0.48046376517689254,0.0788153239796174
15,gauss,850.4446054711308,137.2658196237301,65.52008538478258,0.44839789360767357
16,voigt,963.5485607558795,65.72324618616305,10.61673067238899,0.12041644478988535
17,lorentz,1445.479361189501,149.80497734057576,144.07681721381113,0.612213319102357
18,lorentz,1346.1791472558925,15.920075501053194,1.7477302002201194,0.06988103522700637
19,lorentz,1387.0796547724408,135.97462714163194,85.06185078504902,0.39821141354451445
