Raman Shift (cm-1),Fitted Intensity
172.736,0.042302313485866626
175.633,0.04810376749861914
178.529,0.05555208406334252
181.425,0.06524175591997333
184.319,0.07786733289574234
187.212,0.09410798042152568
190.105,0.11434166735044406
192.996,0.13821131755018073
195.886,0.16427609403469837
198.775,0.18986971097782676
201.664,0.21151991709253953
204.551,0.22586850171552544
207.437,0.23087304820850926
210.323,0.22656785978756583
213.207,0.2150819967027544
216.09,0.19983165925950266
218.973,0.184360747231542
221.854,0.17140679963559186
224.735,0.16244680002890305
227.614,0.1578328028682864
230.492,0.15714747296391607
233.37,0.15962093468121785
236.246,0.1644033524017688
239.122,0.17071261743403834
241.996,0.17786340707095527
244.87,0.18527779294911287
247.742,0.19244862169677243
250.614,0.19894602153293184
253.484,0.2043931728455343
256.354,0.20848565643730396
259.222,0.21098229577918823
262.09,0.21172230345308424
264.956,0.21062288891474396
267.822,0.2076820325223636
270.687,0.2029761480241331
273.55,0.19665374221046422
276.413,0.18891415907296571
279.275,0.18000608267739035
282.135,0.17020623634973803
284.995,0.15979053527769582
287.854,0.1490391697502976
290.711,0.1382134857776074
293.568,0.12753371255172177
296.424,0.11719486628040097
299.279,0.10734799960067344
302.133,0.09810359371123234
304.986,0.08953374606277738
307.838,0.0816762699787261
310.689,0.07453999914461211
313.538,0.06811277282745608
316.387,0.062358504233124286
319.236,0.057234416957035475
322.083,0.05269346274845456
324.929,0.04867980337103109
327.774,0.04513920001235654
330.618,0.04201927594034514
333.461,0.03927096284820614
336.303,0.036849352123827624
339.145,0.03471337871204647
341.985,0.03282877848952007
344.824,0.031163421377043254
347.663,0.02968959682266416
350.5,0.028384831094470903
353.336,0.02722836689329043
356.172,0.02620254463568801
359.006,0.025293265685550487
361.84,0.02448721304115858
364.672,0.023774130392829013
367.504,0.023144261582072355
370.335,0.022589968278298487
373.164,0.022104660884927102
375.993,0.02168224182203955
378.821,0.02131799636249999
381.648,0.02100777245886911
384.473,0.020748154821532742
387.298,0.020536039456001402
390.122,0.02036912216640613
392.945,0.02024546543539968
395.767,0.020163560842270653
398.588,0.020122300419498668
401.408,0.02012095669471337
404.227,0.02015917083788376
407.046,0.020236983285243895
409.863,0.02035471316669081
412.679,0.020513135591536627
415.494,0.02071340595791981
418.309,0.02095720540195019
421.122,0.02124642060832272
423.935,0.02158384583741499
426.746,0.021972426541240087
429.557,0.022416314325907245
432.366,0.022919868830576215
435.175,0.023489074019189597
437.983,0.02413052158546332
440.79,0.0248523410467859
443.595,0.025664029162244417
446.4,0.02657803373124031
449.204,0.027608541803014832
452.007,0.028773287221791195
454.809,0.0300941992852232
457.61,0.03159865550345895
460.41,0.03332121030906347
463.21,0.035306780565110815
466.008,0.037611173352565856
468.805,0.040310301518618905
471.602,0.043506008872851006
474.397,0.0473327266750427
477.192,0.05198169656001834
479.985,0.05771161039548875
482.778,0.06489079167477171
485.569,0.07401135943378807
488.36,0.08573222949540268
491.15,0.10084384869251924
493.939,0.12018966346621623
496.727,0.14445334526598994
499.514,0.17381755035374408
502.3,0.20755512036615217
505.085,0.24371887368293776
507.869,0.27916046727606086
510.652,0.3100515620121923
513.435,0.3328765665183697
516.216,0.3455381099897971
518.996,0.3482048773781106
521.776,0.34333159450685774
