Raman Shift (cm-1),Processed Intensity
1002.14,-0.25601880114777487
1004.77,-0.23181118444017557
1007.38,-1.8277876558161097
1010.0,-0.6436720830856757
1012.62,-0.7995565103497029
1015.24,-0.6954409374320676
1017.85,-0.7514174088464642
1020.47,-1.5073018360901642
1023.08,-1.9232783075044608
1025.7,0.42083726525174825
1028.31,-0.055139206162721166
1030.92,-0.9511156775772633
1033.53,-1.14709214899176
1036.14,0.15693137959397063
1038.75,-0.9990450918205624
1041.36,-0.15502156323509553
1043.97,0.04900196535049872
1046.58,-1.746974506063907
1049.18,0.11695697835079955
1051.79,-1.3990194930638609
1054.39,-0.6550880086490452
1057.0,0.5689355199363035
1059.6,-0.06713299564876252
1062.2,-0.8232015112341742
1064.8,-0.23927002681944032
1067.4,-0.55533854240457
1070.0,-1.5514070579902182
1072.6,0.892524426424643
1075.2,-1.1235440891607595
1077.8,0.22038739525396522
1080.39,-0.3357731645021431
1082.99,-1.5718416800873456
1085.58,-0.9280022398436358
1088.18,-1.1840707554288201
1090.77,-0.3002313151848739
1093.36,0.6036081250588268
1095.95,-1.412552434697318
1098.54,-0.6487129944532626
1101.13,0.21512644579047446
1103.72,-1.821034113965652
1106.31,-1.0171946737218605
1108.9,1.126644766522304
1111.48,-0.1696078374050103
1114.07,0.7342316028391451
1116.65,-0.0020210010877690365
1119.24,-0.8381815608438501
1121.82,0.6855658352292266
1124.4,-0.6106867686978603
1126.98,0.13306062737501634
1129.56,-1.4031919765518523
1132.14,-0.03944458047885746
1134.72,-1.1756971844056352
1137.3,-0.6119497883325948
1139.87,1.3317055635693578
1142.45,1.0154529596425164
1145.03,-0.020799644284352325
1147.6,0.10285570761789131
1150.17,0.44651105952016223
1152.75,-0.08974154440693383
1155.32,-0.2860861925046265
1157.89,-0.38243084060241017
1160.46,-1.3987754887000392
1163.03,1.0248798632019316
1165.6,0.3285352151042389
1168.17,0.23219056700645524
1170.74,0.33584591890871707
1173.3,-0.880590773359927
1175.87,-0.07693542145784704
1178.43,-0.01337211372629099
1181.0,0.13028323817593446
1183.56,0.853846545907345
1186.12,0.23740985363861
