//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa 760--Spectrum--048--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5444.30000002328
PositionY = 9598.50000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa 760--Spectrum--048--Spec.Data 1
 4.91150E+02	 1.38294E+03
 4.93939E+02	 1.38524E+03
 4.96727E+02	 1.38356E+03
 4.99514E+02	 1.38336E+03
 5.02300E+02	 1.38596E+03
 5.05085E+02	 1.38630E+03
 5.07869E+02	 1.38676E+03
 5.10652E+02	 1.38592E+03
 5.13435E+02	 1.38508E+03
 5.16216E+02	 1.38702E+03
 5.18996E+02	 1.38582E+03
 5.21776E+02	 1.38716E+03
 5.24554E+02	 1.38834E+03
 5.27332E+02	 1.38784E+03
 5.30109E+02	 1.38832E+03
 5.32885E+02	 1.38682E+03
 5.35659E+02	 1.38548E+03
 5.38433E+02	 1.38880E+03
 5.41206E+02	 1.38822E+03
 5.43978E+02	 1.38666E+03
 5.46750E+02	 1.38722E+03
 5.49520E+02	 1.38566E+03
 5.52289E+02	 1.38372E+03
 5.55057E+02	 1.38364E+03
 5.57825E+02	 1.38106E+03
 5.60591E+02	 1.38358E+03
 5.63357E+02	 1.38194E+03
 5.66122E+02	 1.38152E+03
 5.68885E+02	 1.38016E+03
 5.71648E+02	 1.38062E+03
 5.74410E+02	 1.37976E+03
 5.77171E+02	 1.38072E+03
 5.79931E+02	 1.38056E+03
 5.82690E+02	 1.37838E+03
 5.85448E+02	 1.37816E+03
 5.88206E+02	 1.37678E+03
 5.90962E+02	 1.37810E+03
 5.93717E+02	 1.37556E+03
 5.96472E+02	 1.37728E+03
 5.99225E+02	 1.37722E+03
 6.01978E+02	 1.37870E+03
 6.04730E+02	 1.37660E+03
 6.07481E+02	 1.37354E+03
 6.10231E+02	 1.37650E+03
 6.12980E+02	 1.37652E+03
 6.15728E+02	 1.37464E+03
 6.18475E+02	 1.37448E+03
 6.21221E+02	 1.37590E+03
 6.23967E+02	 1.37532E+03
 6.26711E+02	 1.37424E+03
 6.29454E+02	 1.37552E+03
 6.32197E+02	 1.37740E+03
 6.34939E+02	 1.37602E+03
 6.37680E+02	 1.37742E+03
 6.40419E+02	 1.37816E+03
 6.43158E+02	 1.37696E+03
 6.45896E+02	 1.37704E+03
 6.48634E+02	 1.37914E+03
 6.51370E+02	 1.37690E+03
 6.54105E+02	 1.37590E+03
