//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT After Glass--Spectrum--056--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5464.00000002328
PositionY = 9564.40000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT After Glass--Spectrum--056--Spec.Data 1
 4.91150E+02	 1.40728E+03
 4.93939E+02	 1.41120E+03
 4.96727E+02	 1.41050E+03
 4.99514E+02	 1.41174E+03
 5.02300E+02	 1.41504E+03
 5.05085E+02	 1.41526E+03
 5.07869E+02	 1.41686E+03
 5.10652E+02	 1.41864E+03
 5.13435E+02	 1.42210E+03
 5.16216E+02	 1.42788E+03
 5.18996E+02	 1.42804E+03
 5.21776E+02	 1.43176E+03
 5.24554E+02	 1.43214E+03
 5.27332E+02	 1.43142E+03
 5.30109E+02	 1.42848E+03
 5.32885E+02	 1.42822E+03
 5.35659E+02	 1.42640E+03
 5.38433E+02	 1.42718E+03
 5.41206E+02	 1.42440E+03
 5.43978E+02	 1.42030E+03
 5.46750E+02	 1.41934E+03
 5.49520E+02	 1.42152E+03
 5.52289E+02	 1.41816E+03
 5.55057E+02	 1.41906E+03
 5.57825E+02	 1.41970E+03
 5.60591E+02	 1.42040E+03
 5.63357E+02	 1.41652E+03
 5.66122E+02	 1.42028E+03
 5.68885E+02	 1.41778E+03
 5.71648E+02	 1.41886E+03
 5.74410E+02	 1.41720E+03
 5.77171E+02	 1.41488E+03
 5.79931E+02	 1.41444E+03
 5.82690E+02	 1.40986E+03
 5.85448E+02	 1.41134E+03
 5.88206E+02	 1.40626E+03
 5.90962E+02	 1.40696E+03
 5.93717E+02	 1.40088E+03
 5.96472E+02	 1.40226E+03
 5.99225E+02	 1.40188E+03
 6.01978E+02	 1.39926E+03
 6.04730E+02	 1.39768E+03
 6.07481E+02	 1.39614E+03
 6.10231E+02	 1.39474E+03
 6.12980E+02	 1.39440E+03
 6.15728E+02	 1.39464E+03
 6.18475E+02	 1.39456E+03
 6.21221E+02	 1.39330E+03
 6.23967E+02	 1.39188E+03
 6.26711E+02	 1.39286E+03
 6.29454E+02	 1.39224E+03
 6.32197E+02	 1.39180E+03
 6.34939E+02	 1.39222E+03
 6.37680E+02	 1.39150E+03
 6.40419E+02	 1.39102E+03
 6.43158E+02	 1.39002E+03
 6.45896E+02	 1.39018E+03
 6.48634E+02	 1.39064E+03
 6.51370E+02	 1.39144E+03
 6.54105E+02	 1.39238E+03
 6.56840E+02	 1.39174E+03
 6.59573E+02	 1.39370E+03
 6.62306E+02	 1.39588E+03
 6.65037E+02	 1.39510E+03
 6.67768E+02	 1.39692E+03
 6.70498E+02	 1.39546E+03
 6.73227E+02	 1.39662E+03
 6.75955E+02	 1.39458E+03
 6.78682E+02	 1.39564E+03
 6.81409E+02	 1.39264E+03
 6.84134E+02	 1.39278E+03
 6.86858E+02	 1.39356E+03
 6.89582E+02	 1.39308E+03
 6.92305E+02	 1.39248E+03
 6.95026E+02	 1.39386E+03
 6.97747E+02	 1.39520E+03
 7.00467E+02	 1.39162E+03
 7.03186E+02	 1.39518E+03
 7.05905E+02	 1.39684E+03
 7.08622E+02	 1.39874E+03
 7.11338E+02	 1.39898E+03
 7.14054E+02	 1.39936E+03
 7.16768E+02	 1.40208E+03
 7.19482E+02	 1.40130E+03
 7.22195E+02	 1.40152E+03
 7.24907E+02	 1.40492E+03
 7.27618E+02	 1.40134E+03
 7.30328E+02	 1.40468E+03
 7.33037E+02	 1.40670E+03
 7.35745E+02	 1.40518E+03
 7.38453E+02	 1.40634E+03
 7.41159E+02	 1.40336E+03
 7.43865E+02	 1.40778E+03
 7.46569E+02	 1.40936E+03
 7.49273E+02	 1.40714E+03
 7.51976E+02	 1.40544E+03
 7.54678E+02	 1.40784E+03
 7.57379E+02	 1.41288E+03
 7.60080E+02	 1.41290E+03
 7.62779E+02	 1.41072E+03
 7.65478E+02	 1.41238E+03
 7.68175E+02	 1.41694E+03
 7.70872E+02	 1.41874E+03
 7.73568E+02	 1.41772E+03
 7.76263E+02	 1.41474E+03
 7.78957E+02	 1.41752E+03
 7.81650E+02	 1.41568E+03
 7.84342E+02	 1.42220E+03
 7.87034E+02	 1.42862E+03
 7.89724E+02	 1.43280E+03
 7.92414E+02	 1.43080E+03
 7.95103E+02	 1.42652E+03
 7.97791E+02	 1.42586E+03
 8.00478E+02	 1.42254E+03
 8.03164E+02	 1.41742E+03
 8.05849E+02	 1.41220E+03
 8.08533E+02	 1.40976E+03
 8.11217E+02	 1.40666E+03
 8.13899E+02	 1.40588E+03
 8.16581E+02	 1.40418E+03
 8.19262E+02	 1.40238E+03
 8.21942E+02	 1.40572E+03
 8.24621E+02	 1.40314E+03
 8.27299E+02	 1.40376E+03
 8.29977E+02	 1.40488E+03
 8.32653E+02	 1.40524E+03
 8.35329E+02	 1.40508E+03
 8.38003E+02	 1.40826E+03
 8.40677E+02	 1.40704E+03
 8.43350E+02	 1.40516E+03
 8.46022E+02	 1.40706E+03
 8.48693E+02	 1.40810E+03
 8.51364E+02	 1.40692E+03
 8.54033E+02	 1.40560E+03
 8.56702E+02	 1.40576E+03
 8.59370E+02	 1.40588E+03
 8.62036E+02	 1.40786E+03
 8.64702E+02	 1.40704E+03
 8.67367E+02	 1.40712E+03
 8.70032E+02	 1.40992E+03
 8.72695E+02	 1.40960E+03
 8.75358E+02	 1.40666E+03
 8.78019E+02	 1.40516E+03
 8.80680E+02	 1.40598E+03
 8.83340E+02	 1.40586E+03
 8.85999E+02	 1.40752E+03
 8.88657E+02	 1.40886E+03
 8.91314E+02	 1.40650E+03
 8.93971E+02	 1.40652E+03
 8.96626E+02	 1.40584E+03
 8.99281E+02	 1.40664E+03
 9.01935E+02	 1.40272E+03
 9.04588E+02	 1.40808E+03
 9.07240E+02	 1.40638E+03
 9.09891E+02	 1.40454E+03
 9.12541E+02	 1.40628E+03
 9.15191E+02	 1.40722E+03
 9.17840E+02	 1.40740E+03
 9.20487E+02	 1.40788E+03
 9.23134E+02	 1.40796E+03
 9.25780E+02	 1.40936E+03
 9.28426E+02	 1.40758E+03
 9.31070E+02	 1.41056E+03
 9.33714E+02	 1.41216E+03
 9.36356E+02	 1.41156E+03
 9.38998E+02	 1.41466E+03
 9.41639E+02	 1.41362E+03
 9.44279E+02	 1.41324E+03
 9.46918E+02	 1.41586E+03
 9.49557E+02	 1.41752E+03
 9.52194E+02	 1.42168E+03
 9.54831E+02	 1.41862E+03
 9.57466E+02	 1.42344E+03
 9.60101E+02	 1.42500E+03
 9.62735E+02	 1.42522E+03
 9.65369E+02	 1.42318E+03
 9.68001E+02	 1.42420E+03
 9.70633E+02	 1.41994E+03
 9.73263E+02	 1.41214E+03
 9.75893E+02	 1.40266E+03
 9.78522E+02	 1.39892E+03
 9.81150E+02	 1.39712E+03
 9.83777E+02	 1.39298E+03
 9.86404E+02	 1.39370E+03
 9.89029E+02	 1.39342E+03
 9.91654E+02	 1.39616E+03
 9.94278E+02	 1.39344E+03
 9.96901E+02	 1.39454E+03
 9.99523E+02	 1.39574E+03
 1.00214E+03	 1.39270E+03
 1.00477E+03	 1.39370E+03
 1.00738E+03	 1.39356E+03
 1.01000E+03	 1.39064E+03
 1.01262E+03	 1.39324E+03
 1.01524E+03	 1.39360E+03
 1.01785E+03	 1.39304E+03
 1.02047E+03	 1.39588E+03
 1.02308E+03	 1.39294E+03
 1.02570E+03	 1.39284E+03
 1.02831E+03	 1.39502E+03
 1.03092E+03	 1.39464E+03
 1.03353E+03	 1.39362E+03
 1.03614E+03	 1.39430E+03
 1.03875E+03	 1.39388E+03
 1.04136E+03	 1.39770E+03
 1.04397E+03	 1.39776E+03
 1.04658E+03	 1.39336E+03
 1.04918E+03	 1.39586E+03
 1.05179E+03	 1.39734E+03
 1.05439E+03	 1.39482E+03
 1.05700E+03	 1.39528E+03
 1.05960E+03	 1.39610E+03
 1.06220E+03	 1.39478E+03
 1.06480E+03	 1.39522E+03
 1.06740E+03	 1.39374E+03
 1.07000E+03	 1.39358E+03
 1.07260E+03	 1.39348E+03
 1.07520E+03	 1.39116E+03
 1.07780E+03	 1.39322E+03
 1.08039E+03	 1.39138E+03
 1.08299E+03	 1.39530E+03
 1.08558E+03	 1.39440E+03
 1.08818E+03	 1.39180E+03
 1.09077E+03	 1.39108E+03
 1.09336E+03	 1.39184E+03
 1.09595E+03	 1.39038E+03
 1.09854E+03	 1.39330E+03
 1.10113E+03	 1.39196E+03
 1.10372E+03	 1.39256E+03
 1.10631E+03	 1.39144E+03
 1.10890E+03	 1.39358E+03
 1.11148E+03	 1.39310E+03
 1.11407E+03	 1.39208E+03
 1.11665E+03	 1.39366E+03
 1.11924E+03	 1.39022E+03
 1.12182E+03	 1.39192E+03
 1.12440E+03	 1.39204E+03
 1.12698E+03	 1.39202E+03
 1.12956E+03	 1.39238E+03
 1.13214E+03	 1.39362E+03
 1.13472E+03	 1.39330E+03
 1.13730E+03	 1.39258E+03
 1.13987E+03	 1.39306E+03
 1.14245E+03	 1.39238E+03
 1.14503E+03	 1.39394E+03
 1.14760E+03	 1.39310E+03
 1.15017E+03	 1.39376E+03
 1.15275E+03	 1.39178E+03
 1.15532E+03	 1.39266E+03
 1.15789E+03	 1.39308E+03
 1.16046E+03	 1.39112E+03
 1.16303E+03	 1.39280E+03
 1.16560E+03	 1.39164E+03
 1.16817E+03	 1.39258E+03
 1.17074E+03	 1.39116E+03
 1.17330E+03	 1.39206E+03
 1.17587E+03	 1.39308E+03
 1.17843E+03	 1.39100E+03
 1.18100E+03	 1.39100E+03
 1.18356E+03	 1.39282E+03
 1.18612E+03	 1.39094E+03
 1.18868E+03	 1.39184E+03
 1.19124E+03	 1.39356E+03
 1.19380E+03	 1.39086E+03
 1.19636E+03	 1.39152E+03
 1.19892E+03	 1.39250E+03
 1.20148E+03	 1.39212E+03
 1.20404E+03	 1.39360E+03
 1.20659E+03	 1.39112E+03
 1.20915E+03	 1.39184E+03
 1.21170E+03	 1.39052E+03
 1.21425E+03	 1.39306E+03
 1.21681E+03	 1.39102E+03
 1.21936E+03	 1.39212E+03
 1.22191E+03	 1.39386E+03
 1.22446E+03	 1.39318E+03
 1.22701E+03	 1.39142E+03
 1.22956E+03	 1.39370E+03
 1.23210E+03	 1.39372E+03
 1.23465E+03	 1.39188E+03
 1.23720E+03	 1.39104E+03
 1.23974E+03	 1.39256E+03
 1.24229E+03	 1.39098E+03
 1.24483E+03	 1.39102E+03
 1.24737E+03	 1.39398E+03
 1.24992E+03	 1.39178E+03
 1.25246E+03	 1.39220E+03
 1.25500E+03	 1.39158E+03
 1.25754E+03	 1.39456E+03
 1.26008E+03	 1.39212E+03
 1.26261E+03	 1.39258E+03
 1.26515E+03	 1.39398E+03
 1.26769E+03	 1.39414E+03
 1.27022E+03	 1.39300E+03
 1.27276E+03	 1.39422E+03
 1.27529E+03	 1.39396E+03
 1.27783E+03	 1.39290E+03
 1.28036E+03	 1.39336E+03
 1.28289E+03	 1.39532E+03
 1.28542E+03	 1.39164E+03
 1.28795E+03	 1.39260E+03
 1.29048E+03	 1.39122E+03
 1.29301E+03	 1.39176E+03
 1.29554E+03	 1.39338E+03
 1.29806E+03	 1.39422E+03
 1.30059E+03	 1.39094E+03
 1.30311E+03	 1.39366E+03
 1.30564E+03	 1.39132E+03
 1.30816E+03	 1.39312E+03
 1.31069E+03	 1.38948E+03
 1.31321E+03	 1.38868E+03
 1.31573E+03	 1.39146E+03
 1.31825E+03	 1.39286E+03
 1.32077E+03	 1.39216E+03
 1.32329E+03	 1.39358E+03
 1.32581E+03	 1.39134E+03
 1.32832E+03	 1.39026E+03
 1.33084E+03	 1.39154E+03
 1.33336E+03	 1.39202E+03
 1.33587E+03	 1.39270E+03
 1.33838E+03	 1.39156E+03
 1.34090E+03	 1.39300E+03
 1.34341E+03	 1.39152E+03
 1.34592E+03	 1.39340E+03
 1.34843E+03	 1.39208E+03
 1.35094E+03	 1.39380E+03
 1.35345E+03	 1.39274E+03
 1.35596E+03	 1.39182E+03
 1.35847E+03	 1.39190E+03
 1.36098E+03	 1.39310E+03
 1.36348E+03	 1.39358E+03
 1.36599E+03	 1.39282E+03
 1.36849E+03	 1.39288E+03
 1.37100E+03	 1.39292E+03
 1.37350E+03	 1.39266E+03
 1.37600E+03	 1.39098E+03
 1.37850E+03	 1.39082E+03
 1.38100E+03	 1.39416E+03
 1.38350E+03	 1.39036E+03
 1.38600E+03	 1.39324E+03
 1.38850E+03	 1.39162E+03
 1.39100E+03	 1.38946E+03
 1.39350E+03	 1.39174E+03
 1.39599E+03	 1.39234E+03
 1.39849E+03	 1.39068E+03
 1.40098E+03	 1.39192E+03
 1.40348E+03	 1.39250E+03
 1.40597E+03	 1.39022E+03
 1.40846E+03	 1.39130E+03
 1.41095E+03	 1.39074E+03
 1.41344E+03	 1.39328E+03
 1.41593E+03	 1.39150E+03
 1.41842E+03	 1.39084E+03
 1.42091E+03	 1.38938E+03
 1.42340E+03	 1.39092E+03
 1.42588E+03	 1.39188E+03
 1.42837E+03	 1.38940E+03
 1.43086E+03	 1.39148E+03
 1.43334E+03	 1.38948E+03
 1.43582E+03	 1.39120E+03
 1.43831E+03	 1.39090E+03
 1.44079E+03	 1.39116E+03
 1.44327E+03	 1.39172E+03
 1.44575E+03	 1.38920E+03
 1.44823E+03	 1.38984E+03
 1.45071E+03	 1.39198E+03
 1.45319E+03	 1.39006E+03
 1.45566E+03	 1.39034E+03
 1.45814E+03	 1.39028E+03
 1.46062E+03	 1.39154E+03
 1.46309E+03	 1.39184E+03
 1.46557E+03	 1.39168E+03
 1.46804E+03	 1.38930E+03
 1.47051E+03	 1.39164E+03
 1.47298E+03	 1.39032E+03
 1.47546E+03	 1.38834E+03
 1.47793E+03	 1.39084E+03
 1.48040E+03	 1.38950E+03
 1.48286E+03	 1.39062E+03
 1.48533E+03	 1.39120E+03
 1.48780E+03	 1.38998E+03
 1.49027E+03	 1.38936E+03
 1.49273E+03	 1.39220E+03
 1.49520E+03	 1.39134E+03
 1.49766E+03	 1.38860E+03
 1.50013E+03	 1.39090E+03
 1.50259E+03	 1.38902E+03
 1.50505E+03	 1.38922E+03
 1.50751E+03	 1.39000E+03
 1.50997E+03	 1.39158E+03
 1.51243E+03	 1.39338E+03
 1.51489E+03	 1.39284E+03
 1.51735E+03	 1.39054E+03
 1.51981E+03	 1.39068E+03
 1.52226E+03	 1.39024E+03
 1.52472E+03	 1.38980E+03
 1.52718E+03	 1.39248E+03
 1.52963E+03	 1.39094E+03
 1.53208E+03	 1.39044E+03
 1.53454E+03	 1.39052E+03
 1.53699E+03	 1.39346E+03
 1.53944E+03	 1.39216E+03
 1.54189E+03	 1.39136E+03
 1.54434E+03	 1.39180E+03
 1.54679E+03	 1.39492E+03
 1.54924E+03	 1.39070E+03
 1.55169E+03	 1.39174E+03
 1.55413E+03	 1.39130E+03
 1.55658E+03	 1.39088E+03
 1.55902E+03	 1.39202E+03
 1.56147E+03	 1.39128E+03
 1.56391E+03	 1.39416E+03
 1.56636E+03	 1.39088E+03
 1.56880E+03	 1.39328E+03
 1.57124E+03	 1.38920E+03
 1.57368E+03	 1.39216E+03
 1.57612E+03	 1.39022E+03
 1.57856E+03	 1.39190E+03
 1.58100E+03	 1.39282E+03
 1.58344E+03	 1.38912E+03
 1.58587E+03	 1.39196E+03
 1.58831E+03	 1.39304E+03
 1.59074E+03	 1.39280E+03
 1.59318E+03	 1.38978E+03
 1.59561E+03	 1.38984E+03
 1.59805E+03	 1.39218E+03
 1.60048E+03	 1.39018E+03
 1.60291E+03	 1.38908E+03
 1.60534E+03	 1.39284E+03
 1.60777E+03	 1.38794E+03
 1.61020E+03	 1.38944E+03
 1.61263E+03	 1.39172E+03
 1.61506E+03	 1.39098E+03
 1.61749E+03	 1.39098E+03
 1.61991E+03	 1.39212E+03
 1.62234E+03	 1.39122E+03
 1.62476E+03	 1.39180E+03
 1.62719E+03	 1.39098E+03
 1.62961E+03	 1.38868E+03
 1.63203E+03	 1.39122E+03
 1.63446E+03	 1.39038E+03
 1.63688E+03	 1.38958E+03
 1.63930E+03	 1.38950E+03
 1.64172E+03	 1.38922E+03
 1.64414E+03	 1.39062E+03
 1.64656E+03	 1.38890E+03
 1.64897E+03	 1.38900E+03
 1.65139E+03	 1.38812E+03
 1.65381E+03	 1.38980E+03
 1.65622E+03	 1.39174E+03
 1.65864E+03	 1.38978E+03
 1.66105E+03	 1.38998E+03
 1.66346E+03	 1.38954E+03
 1.66588E+03	 1.39118E+03
 1.66829E+03	 1.38834E+03
 1.67070E+03	 1.38952E+03
 1.67311E+03	 1.39124E+03
 1.67552E+03	 1.38964E+03
 1.67793E+03	 1.39178E+03
 1.68034E+03	 1.38962E+03
 1.68274E+03	 1.39076E+03
 1.68515E+03	 1.39016E+03
 1.68756E+03	 1.38966E+03
 1.68996E+03	 1.39248E+03
 1.69236E+03	 1.39156E+03
 1.69477E+03	 1.39202E+03
 1.69717E+03	 1.38926E+03
 1.69957E+03	 1.39100E+03
 1.70197E+03	 1.38924E+03
 1.70438E+03	 1.38866E+03
 1.70678E+03	 1.39074E+03
 1.70917E+03	 1.38942E+03
 1.71157E+03	 1.39102E+03
 1.71397E+03	 1.39064E+03
