//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT After Glass--Spectrum--057--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5378.70000002328
PositionY = 9343.30000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT After Glass--Spectrum--057--Spec.Data 1
 2.65845E+01	 1.34644E+03
 2.95325E+01	 1.34658E+03
 3.24795E+01	 1.34646E+03
 3.54254E+01	 1.34742E+03
 3.83703E+01	 1.34748E+03
 4.13142E+01	 1.34722E+03
 4.42570E+01	 1.34650E+03
 4.71989E+01	 1.34708E+03
 5.01397E+01	 1.34646E+03
 5.30795E+01	 1.34632E+03
 5.60182E+01	 1.34720E+03
 5.89559E+01	 1.34768E+03
 6.18927E+01	 1.34994E+03
 6.48283E+01	 1.35266E+03
 6.77630E+01	 1.35732E+03
 7.06967E+01	 1.36468E+03
 7.36293E+01	 1.36812E+03
 7.65609E+01	 1.37042E+03
 7.94915E+01	 1.37262E+03
 8.24211E+01	 1.37114E+03
 8.53496E+01	 1.37336E+03
 8.82771E+01	 1.37554E+03
 9.12037E+01	 1.37534E+03
 9.41292E+01	 1.37602E+03
 9.70536E+01	 1.37734E+03
 9.99771E+01	 1.37880E+03
 1.02900E+02	 1.37802E+03
 1.05821E+02	 1.37782E+03
 1.08741E+02	 1.37918E+03
 1.11661E+02	 1.37884E+03
 1.14579E+02	 1.37956E+03
 1.17497E+02	 1.38172E+03
 1.20413E+02	 1.38238E+03
 1.23328E+02	 1.38304E+03
 1.26243E+02	 1.38532E+03
 1.29156E+02	 1.38666E+03
 1.32068E+02	 1.38942E+03
 1.34980E+02	 1.38918E+03
 1.37890E+02	 1.39074E+03
 1.40799E+02	 1.39274E+03
 1.43708E+02	 1.39268E+03
 1.46615E+02	 1.39472E+03
 1.49521E+02	 1.39834E+03
 1.52427E+02	 1.39646E+03
 1.55331E+02	 1.39898E+03
 1.58234E+02	 1.39938E+03
 1.61137E+02	 1.39934E+03
 1.64038E+02	 1.40140E+03
 1.66938E+02	 1.40070E+03
 1.69837E+02	 1.40048E+03
 1.72736E+02	 1.40218E+03
 1.75633E+02	 1.40188E+03
 1.78529E+02	 1.40306E+03
 1.81425E+02	 1.40394E+03
 1.84319E+02	 1.40576E+03
 1.87212E+02	 1.40676E+03
 1.90105E+02	 1.40972E+03
 1.92996E+02	 1.40840E+03
 1.95886E+02	 1.40780E+03
 1.98775E+02	 1.40952E+03
 2.01664E+02	 1.40998E+03
 2.04551E+02	 1.41044E+03
 2.07437E+02	 1.41064E+03
 2.10323E+02	 1.40962E+03
 2.13207E+02	 1.41182E+03
 2.16090E+02	 1.41122E+03
 2.18973E+02	 1.40808E+03
 2.21854E+02	 1.41058E+03
 2.24735E+02	 1.40978E+03
 2.27614E+02	 1.40836E+03
 2.30492E+02	 1.40892E+03
 2.33370E+02	 1.41008E+03
 2.36246E+02	 1.41158E+03
 2.39122E+02	 1.41034E+03
 2.41996E+02	 1.40788E+03
 2.44870E+02	 1.40862E+03
 2.47742E+02	 1.41096E+03
 2.50614E+02	 1.40830E+03
 2.53484E+02	 1.40626E+03
 2.56354E+02	 1.40994E+03
 2.59222E+02	 1.41040E+03
 2.62090E+02	 1.40838E+03
 2.64956E+02	 1.40828E+03
 2.67822E+02	 1.40876E+03
 2.70687E+02	 1.40790E+03
 2.73550E+02	 1.40488E+03
 2.76413E+02	 1.40520E+03
 2.79275E+02	 1.40648E+03
 2.82135E+02	 1.40262E+03
 2.84995E+02	 1.40418E+03
 2.87854E+02	 1.40188E+03
 2.90711E+02	 1.40238E+03
 2.93568E+02	 1.40296E+03
 2.96424E+02	 1.40258E+03
 2.99279E+02	 1.40008E+03
 3.02133E+02	 1.40068E+03
 3.04986E+02	 1.39958E+03
 3.07838E+02	 1.40090E+03
 3.10689E+02	 1.39934E+03
 3.13538E+02	 1.39988E+03
 3.16387E+02	 1.40030E+03
 3.19236E+02	 1.39990E+03
 3.22083E+02	 1.40020E+03
 3.24929E+02	 1.40144E+03
 3.27774E+02	 1.39950E+03
 3.30618E+02	 1.40030E+03
 3.33461E+02	 1.39936E+03
 3.36303E+02	 1.39942E+03
 3.39145E+02	 1.39904E+03
 3.41985E+02	 1.39884E+03
 3.44824E+02	 1.39864E+03
 3.47663E+02	 1.39698E+03
 3.50500E+02	 1.40164E+03
 3.53336E+02	 1.40008E+03
 3.56172E+02	 1.39996E+03
 3.59006E+02	 1.39990E+03
 3.61840E+02	 1.39910E+03
 3.64672E+02	 1.39988E+03
 3.67504E+02	 1.39956E+03
 3.70335E+02	 1.40020E+03
 3.73164E+02	 1.40118E+03
 3.75993E+02	 1.39950E+03
 3.78821E+02	 1.40426E+03
 3.81648E+02	 1.40096E+03
 3.84473E+02	 1.40250E+03
 3.87298E+02	 1.39974E+03
 3.90122E+02	 1.40144E+03
 3.92945E+02	 1.39998E+03
 3.95767E+02	 1.40134E+03
 3.98588E+02	 1.40040E+03
 4.01408E+02	 1.40030E+03
 4.04227E+02	 1.40342E+03
 4.07046E+02	 1.40088E+03
 4.09863E+02	 1.39878E+03
 4.12679E+02	 1.40348E+03
 4.15494E+02	 1.39994E+03
 4.18309E+02	 1.40398E+03
 4.21122E+02	 1.40212E+03
 4.23935E+02	 1.40276E+03
 4.26746E+02	 1.40142E+03
 4.29557E+02	 1.40474E+03
 4.32366E+02	 1.40558E+03
 4.35175E+02	 1.40502E+03
 4.37983E+02	 1.40378E+03
 4.40790E+02	 1.40382E+03
 4.43595E+02	 1.40640E+03
 4.46400E+02	 1.40672E+03
 4.49204E+02	 1.40400E+03
 4.52007E+02	 1.40406E+03
 4.54809E+02	 1.40582E+03
 4.57610E+02	 1.40346E+03
 4.60410E+02	 1.40644E+03
 4.63210E+02	 1.40666E+03
 4.66008E+02	 1.40368E+03
 4.68805E+02	 1.40372E+03
