//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa 300--Spectrum--037--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5581.20000002328
PositionY = 9365.30000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa 300--Spectrum--037--Spec.Data 1
 4.91150E+02	 1.38182E+03
 4.93939E+02	 1.38236E+03
 4.96727E+02	 1.38280E+03
 4.99514E+02	 1.38440E+03
 5.02300E+02	 1.38520E+03
 5.05085E+02	 1.38870E+03
 5.07869E+02	 1.39102E+03
 5.10652E+02	 1.39264E+03
 5.13435E+02	 1.39814E+03
 5.16216E+02	 1.40228E+03
 5.18996E+02	 1.40018E+03
 5.21776E+02	 1.39822E+03
 5.24554E+02	 1.39516E+03
 5.27332E+02	 1.39126E+03
 5.30109E+02	 1.38776E+03
 5.32885E+02	 1.38614E+03
 5.35659E+02	 1.38476E+03
 5.38433E+02	 1.38310E+03
 5.41206E+02	 1.38358E+03
 5.43978E+02	 1.38272E+03
 5.46750E+02	 1.38216E+03
 5.49520E+02	 1.38238E+03
 5.52289E+02	 1.38248E+03
 5.55057E+02	 1.38154E+03
 5.57825E+02	 1.38016E+03
 5.60591E+02	 1.38126E+03
 5.63357E+02	 1.37810E+03
 5.66122E+02	 1.38038E+03
 5.68885E+02	 1.38172E+03
 5.71648E+02	 1.38018E+03
 5.74410E+02	 1.37792E+03
 5.77171E+02	 1.37916E+03
 5.79931E+02	 1.37890E+03
 5.82690E+02	 1.37716E+03
 5.85448E+02	 1.37722E+03
 5.88206E+02	 1.37556E+03
 5.90962E+02	 1.37750E+03
 5.93717E+02	 1.37590E+03
 5.96472E+02	 1.37788E+03
 5.99225E+02	 1.37744E+03
 6.01978E+02	 1.37690E+03
 6.04730E+02	 1.37684E+03
 6.07481E+02	 1.37784E+03
 6.10231E+02	 1.37684E+03
 6.12980E+02	 1.37642E+03
 6.15728E+02	 1.37782E+03
 6.18475E+02	 1.37578E+03
 6.21221E+02	 1.37584E+03
 6.23967E+02	 1.37552E+03
 6.26711E+02	 1.37542E+03
 6.29454E+02	 1.37538E+03
 6.32197E+02	 1.37606E+03
 6.34939E+02	 1.37552E+03
 6.37680E+02	 1.37718E+03
 6.40419E+02	 1.37582E+03
 6.43158E+02	 1.37590E+03
 6.45896E+02	 1.37650E+03
 6.48634E+02	 1.37666E+03
 6.51370E+02	 1.37554E+03
 6.54105E+02	 1.37644E+03
 6.56840E+02	 1.37610E+03
 6.59573E+02	 1.37600E+03
 6.62306E+02	 1.37470E+03
 6.65037E+02	 1.37484E+03
 6.67768E+02	 1.37608E+03
 6.70498E+02	 1.37598E+03
 6.73227E+02	 1.37400E+03
 6.75955E+02	 1.37556E+03
 6.78682E+02	 1.37538E+03
 6.81409E+02	 1.37308E+03
 6.84134E+02	 1.37578E+03
 6.86858E+02	 1.37506E+03
 6.89582E+02	 1.37482E+03
 6.92305E+02	 1.37566E+03
 6.95026E+02	 1.37562E+03
 6.97747E+02	 1.37590E+03
 7.00467E+02	 1.37534E+03
 7.03186E+02	 1.37640E+03
 7.05905E+02	 1.37786E+03
 7.08622E+02	 1.37766E+03
 7.11338E+02	 1.37924E+03
 7.14054E+02	 1.37982E+03
 7.16768E+02	 1.37822E+03
 7.19482E+02	 1.37960E+03
 7.22195E+02	 1.37916E+03
 7.24907E+02	 1.37776E+03
 7.27618E+02	 1.38020E+03
 7.30328E+02	 1.38102E+03
 7.33037E+02	 1.37986E+03
 7.35745E+02	 1.38246E+03
 7.38453E+02	 1.38110E+03
 7.41159E+02	 1.38014E+03
 7.43865E+02	 1.38216E+03
 7.46569E+02	 1.38302E+03
 7.49273E+02	 1.38118E+03
 7.51976E+02	 1.38266E+03
 7.54678E+02	 1.38418E+03
 7.57379E+02	 1.38368E+03
 7.60080E+02	 1.38288E+03
 7.62779E+02	 1.38336E+03
 7.65478E+02	 1.38374E+03
 7.68175E+02	 1.38344E+03
 7.70872E+02	 1.38488E+03
 7.73568E+02	 1.38456E+03
 7.76263E+02	 1.38284E+03
 7.78957E+02	 1.38238E+03
 7.81650E+02	 1.38156E+03
 7.84342E+02	 1.38362E+03
 7.87034E+02	 1.38206E+03
 7.89724E+02	 1.38174E+03
 7.92414E+02	 1.38086E+03
 7.95103E+02	 1.38210E+03
 7.97791E+02	 1.37896E+03
 8.00478E+02	 1.38262E+03
 8.03164E+02	 1.38040E+03
 8.05849E+02	 1.37866E+03
 8.08533E+02	 1.37812E+03
 8.11217E+02	 1.37778E+03
 8.13899E+02	 1.37932E+03
 8.16581E+02	 1.37714E+03
 8.19262E+02	 1.38052E+03
 8.21942E+02	 1.37938E+03
 8.24621E+02	 1.37754E+03
 8.27299E+02	 1.37730E+03
 8.29977E+02	 1.37892E+03
 8.32653E+02	 1.38098E+03
 8.35329E+02	 1.37962E+03
 8.38003E+02	 1.37724E+03
 8.40677E+02	 1.37932E+03
 8.43350E+02	 1.38062E+03
 8.46022E+02	 1.37916E+03
 8.48693E+02	 1.37790E+03
 8.51364E+02	 1.37880E+03
 8.54033E+02	 1.37972E+03
 8.56702E+02	 1.37986E+03
 8.59370E+02	 1.38000E+03
 8.62036E+02	 1.38034E+03
 8.64702E+02	 1.37824E+03
 8.67367E+02	 1.37968E+03
 8.70032E+02	 1.38044E+03
 8.72695E+02	 1.37916E+03
 8.75358E+02	 1.38076E+03
 8.78019E+02	 1.37898E+03
 8.80680E+02	 1.37940E+03
 8.83340E+02	 1.37862E+03
 8.85999E+02	 1.37788E+03
 8.88657E+02	 1.37872E+03
 8.91314E+02	 1.37978E+03
 8.93971E+02	 1.37982E+03
 8.96626E+02	 1.37792E+03
 8.99281E+02	 1.37806E+03
 9.01935E+02	 1.37940E+03
 9.04588E+02	 1.38040E+03
 9.07240E+02	 1.37976E+03
 9.09891E+02	 1.37984E+03
 9.12541E+02	 1.37742E+03
 9.15191E+02	 1.38068E+03
 9.17840E+02	 1.37894E+03
 9.20487E+02	 1.37698E+03
 9.23134E+02	 1.37744E+03
 9.25780E+02	 1.37646E+03
 9.28426E+02	 1.37788E+03
 9.31070E+02	 1.37604E+03
 9.33714E+02	 1.37608E+03
 9.36356E+02	 1.37436E+03
 9.38998E+02	 1.37172E+03
 9.41639E+02	 1.37206E+03
 9.44279E+02	 1.37176E+03
 9.46918E+02	 1.36966E+03
 9.49557E+02	 1.37024E+03
 9.52194E+02	 1.37026E+03
 9.54831E+02	 1.36700E+03
 9.57466E+02	 1.36696E+03
 9.60101E+02	 1.36624E+03
