//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT After  No Glass--Spectrum--058--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 4897.70000002328
PositionY = 9097.90000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT After  No Glass--Spectrum--058--Spec.Data 1
 4.88360E+02	 1.69784E+03
 4.91150E+02	 1.70270E+03
 4.93939E+02	 1.70836E+03
 4.96727E+02	 1.71666E+03
 4.99514E+02	 1.72450E+03
 5.02300E+02	 1.73370E+03
 5.05085E+02	 1.73522E+03
 5.07869E+02	 1.74926E+03
 5.10652E+02	 1.75262E+03
 5.13435E+02	 1.76868E+03
 5.16216E+02	 1.77654E+03
 5.18996E+02	 1.78526E+03
 5.21776E+02	 1.78348E+03
 5.24554E+02	 1.78822E+03
 5.27332E+02	 1.77744E+03
 5.30109E+02	 1.77394E+03
 5.32885E+02	 1.77304E+03
 5.35659E+02	 1.76664E+03
 5.38433E+02	 1.75758E+03
 5.41206E+02	 1.75880E+03
 5.43978E+02	 1.75826E+03
 5.46750E+02	 1.75568E+03
 5.49520E+02	 1.75130E+03
 5.52289E+02	 1.74760E+03
 5.55057E+02	 1.74790E+03
 5.57825E+02	 1.74976E+03
 5.60591E+02	 1.74430E+03
 5.63357E+02	 1.74762E+03
 5.66122E+02	 1.74068E+03
 5.68885E+02	 1.73556E+03
 5.71648E+02	 1.73482E+03
 5.74410E+02	 1.72730E+03
 5.77171E+02	 1.72708E+03
 5.79931E+02	 1.71782E+03
 5.82690E+02	 1.70512E+03
 5.85448E+02	 1.70102E+03
 5.88206E+02	 1.68428E+03
 5.90962E+02	 1.67004E+03
 5.93717E+02	 1.66588E+03
 5.96472E+02	 1.65782E+03
 5.99225E+02	 1.64302E+03
 6.01978E+02	 1.64076E+03
 6.04730E+02	 1.63560E+03
 6.07481E+02	 1.62676E+03
 6.10231E+02	 1.61114E+03
 6.12980E+02	 1.61104E+03
 6.15728E+02	 1.60594E+03
 6.18475E+02	 1.60628E+03
 6.21221E+02	 1.60122E+03
 6.23967E+02	 1.60138E+03
 6.26711E+02	 1.59164E+03
 6.29454E+02	 1.59076E+03
 6.32197E+02	 1.58780E+03
 6.34939E+02	 1.58932E+03
 6.37680E+02	 1.59016E+03
 6.40419E+02	 1.58718E+03
 6.43158E+02	 1.58822E+03
 6.45896E+02	 1.58710E+03
 6.48634E+02	 1.58952E+03
 6.51370E+02	 1.59320E+03
 6.54105E+02	 1.60188E+03
 6.56840E+02	 1.60514E+03
 6.59573E+02	 1.60964E+03
 6.62306E+02	 1.61638E+03
 6.65037E+02	 1.62316E+03
 6.67768E+02	 1.62452E+03
 6.70498E+02	 1.62434E+03
 6.73227E+02	 1.61932E+03
 6.75955E+02	 1.61576E+03
 6.78682E+02	 1.60582E+03
 6.81409E+02	 1.60548E+03
 6.84134E+02	 1.60182E+03
 6.86858E+02	 1.60394E+03
 6.89582E+02	 1.60314E+03
 6.92305E+02	 1.60350E+03
 6.95026E+02	 1.60602E+03
 6.97747E+02	 1.60794E+03
 7.00467E+02	 1.61120E+03
 7.03186E+02	 1.61588E+03
