//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT No Window--Spectrum--031--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5519.10000002328
PositionY = 9406.00000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT No Window--Spectrum--031--Spec.Data 1
 4.91150E+02	 1.58962E+03
 4.93939E+02	 1.59812E+03
 4.96727E+02	 1.59870E+03
 4.99514E+02	 1.60070E+03
 5.02300E+02	 1.60470E+03
 5.05085E+02	 1.60746E+03
 5.07869E+02	 1.60496E+03
 5.10652E+02	 1.61594E+03
 5.13435E+02	 1.61708E+03
 5.16216E+02	 1.61674E+03
 5.18996E+02	 1.62528E+03
 5.21776E+02	 1.62098E+03
 5.24554E+02	 1.62470E+03
 5.27332E+02	 1.62366E+03
 5.30109E+02	 1.61972E+03
 5.32885E+02	 1.62078E+03
 5.35659E+02	 1.62574E+03
 5.38433E+02	 1.61776E+03
 5.41206E+02	 1.61868E+03
 5.43978E+02	 1.61724E+03
 5.46750E+02	 1.61254E+03
 5.49520E+02	 1.61676E+03
 5.52289E+02	 1.61148E+03
 5.55057E+02	 1.60844E+03
 5.57825E+02	 1.60418E+03
 5.60591E+02	 1.60274E+03
 5.63357E+02	 1.60612E+03
 5.66122E+02	 1.60256E+03
 5.68885E+02	 1.59974E+03
 5.71648E+02	 1.59622E+03
 5.74410E+02	 1.58812E+03
 5.77171E+02	 1.59312E+03
 5.79931E+02	 1.59322E+03
 5.82690E+02	 1.59122E+03
 5.85448E+02	 1.58442E+03
 5.88206E+02	 1.59132E+03
 5.90962E+02	 1.58406E+03
 5.93717E+02	 1.58120E+03
 5.96472E+02	 1.57910E+03
 5.99225E+02	 1.58450E+03
 6.01978E+02	 1.58254E+03
 6.04730E+02	 1.57794E+03
 6.07481E+02	 1.57804E+03
 6.10231E+02	 1.57650E+03
 6.12980E+02	 1.56824E+03
 6.15728E+02	 1.57308E+03
 6.18475E+02	 1.57046E+03
 6.21221E+02	 1.56968E+03
 6.23967E+02	 1.56972E+03
