//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa 1000--Spectrum--053--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5438.10000002328
PositionY = 9592.60000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa 1000--Spectrum--053--Spec.Data 1
 4.91150E+02	 1.40420E+03
 4.93939E+02	 1.40416E+03
 4.96727E+02	 1.40588E+03
 4.99514E+02	 1.40498E+03
 5.02300E+02	 1.40470E+03
 5.05085E+02	 1.40338E+03
 5.07869E+02	 1.40450E+03
 5.10652E+02	 1.40310E+03
 5.13435E+02	 1.40346E+03
 5.16216E+02	 1.40312E+03
 5.18996E+02	 1.40320E+03
 5.21776E+02	 1.40350E+03
 5.24554E+02	 1.40516E+03
 5.27332E+02	 1.40216E+03
 5.30109E+02	 1.40210E+03
 5.32885E+02	 1.40290E+03
 5.35659E+02	 1.40218E+03
 5.38433E+02	 1.40144E+03
 5.41206E+02	 1.40318E+03
 5.43978E+02	 1.40144E+03
 5.46750E+02	 1.40226E+03
 5.49520E+02	 1.39860E+03
 5.52289E+02	 1.39752E+03
 5.55057E+02	 1.39970E+03
 5.57825E+02	 1.39408E+03
 5.60591E+02	 1.39836E+03
 5.63357E+02	 1.39750E+03
 5.66122E+02	 1.39416E+03
 5.68885E+02	 1.39512E+03
 5.71648E+02	 1.39492E+03
 5.74410E+02	 1.39572E+03
 5.77171E+02	 1.39204E+03
 5.79931E+02	 1.39266E+03
 5.82690E+02	 1.39324E+03
 5.85448E+02	 1.39104E+03
 5.88206E+02	 1.39410E+03
 5.90962E+02	 1.39108E+03
 5.93717E+02	 1.38928E+03
 5.96472E+02	 1.38974E+03
 5.99225E+02	 1.38934E+03
 6.01978E+02	 1.38724E+03
 6.04730E+02	 1.38902E+03
 6.07481E+02	 1.38868E+03
